"bingo","score","player","round","phoney","length","probability","playability"
"CATENOID",107,"Alex Tan",1,FALSE,8,238,1111
"ATHEIZE",133,"Alex Tan",1,FALSE,7,7713,2841
"REPAIRED",78,"Alex Tan",1,FALSE,8,4705,11682
"DILATATE",70,"Tan Jin Chor",1,FALSE,8,2957,1147
"SNORERS",83,"Tan Jin Chor",1,FALSE,7,13446,15946
"CAUDLES",82,"Tan Jin Chor",1,FALSE,7,11239,18636
"GUINEAS",72,"Hubert Wee",1,FALSE,7,974,456
"TOENAIL",70,"Marlon Prudencio",1,FALSE,7,9,52
"REWARDS",83,"Marlon Prudencio",1,FALSE,7,12323,28110
"THIRLAGE",62,"Marlon Prudencio",1,FALSE,8,2326,5705
"PAULINS",76,"Vannitha Balasingam",1,FALSE,7,10348,13549
"RANDIES",68,"Shim Yen Nee",1,FALSE,7,105,250
"PERCHES",94,"Shim Yen Nee",1,FALSE,7,24328,24549
"EPIGONES",80,"Jocelyn Lor",1,FALSE,8,3660,4589
"ESTRONE",63,"Nigel Richards",1,FALSE,7,434,23
"STAINERS",68,"Nigel Richards",1,FALSE,8,1206,13722
"LEASURE",80,"Yong Jian Rong",1,FALSE,7,1773,878
"TALIONS",71,"Yong Jian Rong",1,FALSE,7,582,1107
"ANTICISE",74,"Yong Jian Rong",1,FALSE,8,1549,1902
"BRUSHED",83,"William Kang",1,FALSE,7,21303,22343
"SWIRLIER",70,"William Kang",1,FALSE,8,15967,8872
"TANGIEST",72,"William Kang",1,FALSE,8,2092,3072
"POTZERS",88,"Martin Teo",1,FALSE,7,15605,9118
"RESTORED",77,"Martin Teo",1,FALSE,8,4323,8758
"ASSAILED",72,"Martin Teo",1,FALSE,8,9677,12322
"IRONERS",67,"Victor Chua",1,FALSE,7,1008,363
"SPEARGUN",81,"Ricky Purnomo",1,FALSE,8,7919,10670
"INDEWINg",68,"Ricky Purnomo",1,FALSE,8,19078,18109
"HEISTER",76,"Vinnith Ramamurti",1,FALSE,7,2966,2025
"PERCENT",88,"Tony Sim",1,FALSE,7,11084,12115
"STANINE",88,"Tony Sim",1,FALSE,7,697,627
"ASTEROID",70,"Yeo Kian Hung",1,FALSE,8,26,261
"GELIdER",69,"Yeo Kian Hung",1,FALSE,7,3196,7954
"SOUTANE",76,"Wong Zhi Yuan",1,FALSE,7,201,73
"INDICTER",67,"Wong Zhi Yuan",1,FALSE,8,3400,2543
"TRiDACNA",76,"Wong Zhi Yuan",1,FALSE,8,5636,3458
"SEAWARE",91,"Aaron Chong",1,FALSE,7,5958,2859
"ENTROLD",63,"Victor Chua",2,FALSE,7,666,194
"TURBINe",70,"Victor Chua",2,FALSE,7,2091,9038
"STIfLES",71,"Victor Chua",2,FALSE,7,17001,22672
"PREFACE",83,"Aaron Chong",2,FALSE,7,16750,17113
"DELIGHT",69,"Yong Jian Rong",2,FALSE,7,9848,7820
"TIMOLOLS",72,"Yong Jian Rong",2,FALSE,8,26974,23103
"OAKIEST",93,"Tony Sim",2,FALSE,7,1404,1307
"ENTOILS",61,"Tony Sim",2,FALSE,7,225,504
"SWINERY",75,"Vannitha Balasingam",2,FALSE,7,9372,5411
"TEiGLACH",70,"Ricky Purnomo",2,FALSE,8,10167,11419
"IMPONED",99,"Shim Yen Nee",2,FALSE,7,6689,5513
"GARNETS",78,"Vinnith Ramamurti",2,FALSE,7,1035,1658
"TIDIEST",80,"Vinnith Ramamurti",2,FALSE,7,7603,13715
"AGEUSIA",77,"Vinnith Ramamurti",2,FALSE,7,2690,367
"BLEARING",63,"Marlon Prudencio",2,FALSE,8,2287,2328
"KERNITES",163,"Marlon Prudencio",2,FALSE,8,4474,4076
