"player","vp","spread","ave.score","ave.opp.score","ave.spread","j","q","x","z","blank","s","power.tiles","overtime","seconds.left","bingos","bingo.ave.score","country","rank","sa.rating","sa.games","msa.rating","msa.games","wespa.rating","wespa.games","exp.mixed.win","exp.wespa.win","exp.sa.win","exp.msa.win"
"Aaron Chong",9,247,429.6,417.25,12.35,10,9,13,10,23,34,99,0,361.15,39,76.1282051282051,"Malaysia",2,2028,177,2011,778,1896,307,12.63583997,12.12392454,13.51777429,12.31949398
"Alex Tan",9,-446,409.15,431.45,-22.3,13,9,6,11,23,36,98,2,415.15,37,80,"Malaysia",10,1750,235,1905,1199,1769,617,8.652405744,10.20673602,6.008441325,9.504772112
"Hubert Wee",12.5,416,432.5,411.7,20.8,11,10,10,7,21,40,99,0,332.111111111111,39,76.8205128205128,"Singapore",1,2041,1172,2051,368,2019,769,13.14637923,13.09599101,11.20957295,12.37630146
"Jocelyn Lor",8,-343,391.263157894737,409.315789473684,-18.0526315789474,11,7,10,10,16,33,87,0,349.947368421053,25,77.96,"Malaysia",8,1849,668,1907,1899,1690,1063,9.090040634,9.006995617,8.603972406,9.558379007
"Marlon Prudencio",14,729,438.65,402.2,36.45,13,17,8,7,20,38,103,0,308.2,40,79.925,"Singapore",2,1958,973,1933,343,1900,790,10.90299774,11.3954936,10.05168058,9.166015469
"Martin Teo",9,40,416.45,414.45,2,7,7,10,13,21,49,107,0,432.75,43,74.3720930232558,"Malaysia",6,1769,44,1937,761,1742,393,8.91865252,9.794899369,6.47416133,10.36451703
"Michael Tang",9,-267,407.35,420.7,-13.35,7,7,11,15,15,41,96,0,221.05,30,74.9,"Singapore",8,1871,1254,1889,663,1712,1159,8.808248912,8.538565614,8.196708136,7.967314229
"Nigel Richards",17,1650,471.3,388.8,82.5,7,10,10,6,25,48,106,0,558.9,49,78.3877551020408,"Malaysia",1,2119,465,2188,1173,2332,2294,16.54420482,17.18458986,15.5537284,16.18006739
"Ricky Purnomo",11,81,407.25,403.2,4.05,11,8,7,13,17,36,92,7,102.9,29,80.4137931034483,"Singapore",6,1878,1300,1963,491,1834,868,10.36033369,10.40061452,8.340640988,9.996060447
"Shim Yen Nee",7,-592,398.684210526316,429.842105263158,-31.1578947368421,9,11,8,8,13,34,83,0,183,31,76.6451612903226,"Singapore",10,1835,1277,1857,433,1703,441,8.208823037,8.40271453,7.45306928,7.126524677
"Tan Jin Chor",7,-550,405.3,432.8,-27.5,13,10,12,14,18,44,111,0,274.526315789474,28,78.3571428571429,"Malaysia",9,1758,207,1907,1781,1736,1135,8.837349137,9.703533931,6.202269758,9.558379007
"Tony Sim",10,-134,419.3,426,-6.7,9,10,8,8,16,47,98,1,99.2,34,77.9117647058823,"Singapore",5,1888,2047,1914,790,1874,1788,10.42963548,11.00651294,8.891190406,8.644079927
"Vannitha Balasingam",10,646,432.6,400.3,32.3,8,10,8,9,24,40,99,6,67.8888888888889,40,79.525,"Malaysia",3,1791,32,1990,1113,1906,592,10.6636497,12.27098998,7.035353574,11.77507877
"Victor Chua",11,-321,418.1,434.15,-16.05,10,12,11,6,20,42,101,0,315.7,40,73.775,"Singapore",7,1873,824,1965,146,1850,146,10.40597599,10.64385321,8.463683335,10.05142888
"Victor Gwee",7,-794,400.25,439.95,-39.7,12,12,15,9,17,42,107,0,258.6,23,76.304347826087,"Singapore",4,1889,454,1688,45,1530,192,5.752333943,5.937200973,8.56594774,3.507760183
"Vinnith Ramamurti",5,-862,396.45,439.55,-43.1,10,10,8,10,20,32,90,1,368,34,74.3823529411765,"Malaysia",7,NA,NA,1908,344,1562,133,8.171921065,7.145882888,20,9.585194131
"William Kang",11,209,413.9,403.45,10.45,8,11,10,12,26,38,105,0,464.2,34,74.6176470588235,"Malaysia",5,NA,NA,1931,959,1667,348,9.417672578,8.662597603,20,10.20321416
"Wong Zhi Yuan",13,341,426.35,409.3,17.05,10,14,11,9,22,44,110,0,486.85,40,76.65,"Singapore",3,1891,223,1879,31,1767,273,8.787934993,9.376051871,8.60677747,7.701023126
"Yeo Kian Hung",11.5,121,428.9,422.85,6.05,12,7,13,11,23,34,100,0,627.9,41,76.219512195122,"Malaysia",4,1869,570,1973,1378,1864,1146,10.77300105,11.64810811,9.165178905,11.32698494
"Yong Jian Rong",8,-171,411.25,419.8,-8.55,8,8,10,11,18,44,99,0,475.95,36,72.4166666666667,"Singapore",9,1845,472,2079,12,1309,49,9.492599761,3.45474383,7.659849126,13.08741108
