Bingo,Score,Player,Round
CATENOID,107,Alex Tan,1
ATHEIZE,133,Alex Tan,1
REPAIRED,78,Alex Tan,1
DILATATE,70,Tan Jin Chor,1
SNORERS,83,Tan Jin Chor,1
CAUDLES,82,Tan Jin Chor,1
GUINEAS,72,Hubert Wee,1
TOENAIL,70,Marlon Prudencio,1
REWARDS,83,Marlon Prudencio,1
THIRLAGE,62,Marlon Prudencio,1
PAULINS,76,Vannitha Balasingam,1
RANDIES,68,Shim Yen Nee,1
PERCHES,94,Shim Yen Nee,1
EPIGONES,80,Jocelyn Lor,1
ESTRONE,63,Nigel Richards,1
STAINERS,68,Nigel Richards,1
LEASURE,80,Yong Jian Rong,1
TALIONS,71,Yong Jian Rong,1
ANTICISE,74,Yong Jian Rong,1
BRUSHED,83,William Kang,1
SWIRLIER,70,William Kang,1
TANGIEST,72,William Kang,1
POTZERS,88,Martin Teo,1
RESTORED,77,Martin Teo,1
ASSAILED,72,Martin Teo,1
IRONERS,67,Victor Chua,1
SPEARGUN,81,Ricky Purnomo,1
INDEWINg,68,Ricky Purnomo,1
HEISTER,76,Vinnith Ramamurti,1
PERCENT,88,Tony Sim,1
STANINE,88,Tony Sim,1
ASTEROID,70,Yeo Kian Hung,1
GELIdER,69,Yeo Kian Hung,1
SOUTANE,76,Wong Zhi Yuan,1
INDICTER,67,Wong Zhi Yuan,1
TRiDACNA,76,Wong Zhi Yuan,1
SEAWARE,91,Aaron Chong,1
ENTROLD,63,Victor Chua,2
TURBINe,70,Victor Chua,2
STIfLES,71,Victor Chua,2
PREFACE,83,Aaron Chong,2
DELIGHT,69,Yong Jian Rong,2
TIMOLOLS,72,Yong Jian Rong,2
OAKIEST,93,Tony Sim,2
ENTOILS,61,Tony Sim,2
SWINERY,75,Vannitha Balasingam,2
TEiGLACH,70,Ricky Purnomo,2
IMPONED,99,Shim Yen Nee,2
GARNETS,78,Vinnith Ramamurti,2
TIDIEST,80,Vinnith Ramamurti,2
AGEUSIA,77,Vinnith Ramamurti,2
BLEARING,63,Marlon Prudencio,2
KERNITES,163,Marlon Prudencio,2
EPACRIS,89,Tan Jin Chor,2
ENMOVING,76,Tan Jin Chor,2
AEGIRITE,74,William Kang,2
EDIFIES,75,William Kang,2
GOONIEST,68,William Kang,2
STEMING,82,Michael Tang,2
ETAERIOS,70,Michael Tang,2
BAPTIST,78,Nigel Richards,2
ECESISES,67,Nigel Richards,2
eXTRaIT,73,Wong Zhi Yuan,2
OREADES,82,Wong Zhi Yuan,2
TEASLING*,72,Wong Zhi Yuan,2
OUTPRIZE,70,Hubert Wee,2
RENAILED,70,Hubert Wee,2
FRASCATI,95,Hubert Wee,2
