Round,Player,Blank,J,Q,X,Z,S,Overtime,Minute,Second
1,Nigel Richards,0,1,1,1,0,3,N,11,26
1,Aaron Chong,0,1,0,1,0,2,N,1,13
1,Vannitha Balasingam,1,0,0,1,1,0,Y,2,48
1,Yeo Kian Hung,2,1,0,0,0,1,N,7,18
1,William Kang,2,1,0,0,0,3,N,6,40
1,Martin Teo,2,0,0,1,1,3,N,8,17
1,Vinnith Ramamurti,1,0,1,0,1,2,Y,0,16
1,Jocelyn Lor,1,1,0,0,1,1,N,0,0
1,Tan Jin Chor,1,1,1,1,0,3,N,3,0
1,Alex Tan,2,1,0,0,1,1,N,13,18
1,Hubert Wee,1,0,0,0,1,1,N,3,0
1,Marlon Prudencio,1,1,1,0,0,4,N,1,26
1,Wong Zhi Yuan,2,0,1,0,1,2,N,7,36
1,Victor Gwee,0,0,1,1,1,1,N,0,21
1,Tony Sim,0,0,1,1,1,3,N,2,23
1,Ricky Purnomo,1,1,0,1,0,2,N,0,44
1,Victor Chua,0,1,1,0,0,1,N,3,45
1,Michael Tang,0,0,1,1,0,3,N,0,57
1,Yong Jian Rong,2,0,0,0,1,1,N,0,6
1,Shim Yen Nee,1,0,1,1,0,3,N,3,8
2,Nigel Richards,2,0,1,0,0,1,N,8,5
2,Aaron Chong,1,0,1,1,1,1,N,2,34
2,Vannitha Balasingam,1,1,0,1,0,4,Y,0,47
2,Yeo Kian Hung,1,1,0,1,0,2,N,8,50
2,William Kang,2,0,1,0,0,2,N,3,15
2,Martin Teo,0,1,1,0,1,2,N,4,4
2,Vinnith Ramamurti,2,0,0,1,0,3,N,0,40
2,Jocelyn Lor,1,1,0,1,0,0,N,4,12
2,Tan Jin Chor,1,1,0,1,1,2,N,12,24
2,Alex Tan,0,1,0,0,1,1,N,5,39
2,Hubert Wee,1,0,1,0,1,2,N,6,47
2,Marlon Prudencio,1,0,1,0,0,2,N,1,13
2,Wong Zhi Yuan,2,0,0,1,0,2,N,2,37
2,Victor Gwee,0,1,0,1,1,3,N,4,20
2,Tony Sim,1,0,1,0,1,4,N,1,8
2,Ricky Purnomo,1,0,1,0,1,0,Y,2,29
2,Victor Chua,2,0,1,1,0,3,N,5,5
2,Michael Tang,0,1,0,1,1,2,N,3,7
2,Yong Jian Rong,1,1,0,0,0,3,N,10,7
2,Shim Yen Nee,0,1,1,0,1,1,N,0,34
3,Nigel Richards,0,0,1,1,0,2,N,6,48
3,Aaron Chong,0,1,1,0,0,3,N,6,40
3,Vannitha Balasingam,2,1,1,0,0,2,N,0,40
3,Yeo Kian Hung,1,1,0,1,1,0,N,9,18
3,William Kang,1,1,1,0,1,2,N,13,35
3,Martin Teo,1,0,1,0,0,2,N,9,55
3,Vinnith Ramamurti,1,1,1,0,1,2,N,4,53
3,Jocelyn Lor,1,0,0,0,0,2,N,0,44
3,Tan Jin Chor,2,0,1,0,1,3,N,3,9
3,Alex Tan,0,0,0,1,1,2,N,7,54
3,Hubert Wee,1,1,0,1,1,2,N,4,49
3,Marlon Prudencio,1,0,1,0,0,4,N,5,47
3,Wong Zhi Yuan,1,1,1,1,1,2,N,3,11
3,Victor Gwee,2,0,0,1,1,1,N,2,49
3,Tony Sim,2,1,1,0,0,2,N,0,8
3,Ricky Purnomo,2,1,0,0,1,2,N,0,8
3,Victor Chua,0,1,0,1,0,1,N,0,6
3,Michael Tang,0,0,0,1,1,2,N,1,30
3,Yong Jian Rong,1,0,0,1,0,2,N,3,3
3,Shim Yen Nee,1,0,0,1,0,2,N,1,7
4,Nigel Richards,2,1,0,1,0,3,N,7,49
4,Aaron Chong,2,1,1,1,0,2,N,7,9
4,Vannitha Balasingam,1,0,1,0,0,3,N,1,8
4,Yeo Kian Hung,1,1,0,1,1,1,N,10,51
4,William Kang,1,0,0,1,0,1,N,9,26
4,Martin Teo,1,0,0,1,0,2,N,4,27
4,Vinnith Ramamurti,0,1,1,0,0,0,N,9,55
4,Jocelyn Lor,1,0,0,1,0,1,N,6,15
4,Tan Jin Chor,1,0,0,0,1,3,N,3,57
4,Alex Tan,1,1,0,0,0,0,N,2,39
4,Hubert Wee,1,1,1,0,1,3,N,6,59
4,Marlon Prudencio,1,1,1,0,1,2,N,4,3
4,Wong Zhi Yuan,1,0,1,1,1,4,N,7,0
4,Victor Gwee,1,1,1,1,0,1,N,1,15
4,Tony Sim,2,0,0,1,1,4,N,2,6
4,Ricky Purnomo,0,0,0,0,1,2,Y,0,56
4,Victor Chua,1,1,1,0,1,3,N,1,2
4,Michael Tang,0,0,1,0,1,1,N,2,54
4,Yong Jian Rong,1,0,1,0,0,3,N,7,11
4,Shim Yen Nee,1,1,0,1,1,1,N,0,57
5,Nigel Richards,1,1,1,0,1,4,N,6,42
