"Player1","Player2","P1.country","P1.country.rank","P2.country","P2.country.rank","exp.wespa.win","wespa.games","exp.sa.win","sa.games","exp.msa.win","msa.games","W","L","D","Played","Margin","FirstGame","LastGame","rated.games","mixed.exp.win","P1.wespa.rating","P2.wespa.rating"
"Hubert Wee","Nigel Richards","Singapore",1,"Malaysia",1,0.260507337257314,3063,0.388531695151477,1637,0.31077220956414,1541,18,35,0,53,-2060,2004-06-06,2014-03-30,6241,0.30649901200456,2019,2332
"Hubert Wee","Aaron Chong","Singapore",1,"Malaysia",2,0.60108787884837,1076,0.518886358924836,1349,0.557878912887093,1146,6,15,0,21,-418,2004-12-19,2014-03-30,3571,0.556168437412226,2019,1896
"Hubert Wee","Vannitha Balasingam","Singapore",1,"Malaysia",3,0.593068892564554,1361,0.810534717361514,1204,0.587745017531413,1481,5,2,0,7,366,2006-12-10,2012-06-24,4046,0.655833152112616,2019,1906
"Hubert Wee","Yeo Kian Hung","Singapore",1,"Malaysia",4,0.626367991728148,1915,0.731058578630005,1742,0.611468304848523,1746,24,10,0,34,796,2004-06-28,2014-03-30,5403,0.655306757060595,2019,1864
"Hubert Wee","William Kang","Singapore",1,"Malaysia",5,0.763747002805456,1117,0,0,0.667671959315273,1327,1,0,0,1,78,2009-11-29,2009-11-29,2444,0.711581870763119,2019,1667
"Hubert Wee","Martin Teo","Singapore",1,"Malaysia",6,0.71572080821642,1162,0.82940204263302,1216,0.659887001070113,1129,1,1,0,2,-76,2010-11-21,2013-07-14,3507,0.737163640489704,2019,1742
"Hubert Wee","Vinnith Ramamurti","Singapore",1,"Malaysia",7,0.821028806519107,902,0,0,0.696649888136463,712,0,0,0,0,0,NA,NA,1614,0.766160287381287,2019,1562
"Hubert Wee","Jocelyn Lor","Singapore",1,"Malaysia",8,0.749635018460836,1832,0.753297869993487,1840,0.697877137487923,2267,25,3,0,28,2430,2004-06-06,2013-07-05,5939,0.731013117577604,2019,1690
"Hubert Wee","Tan Jin Chor","Singapore",1,"Malaysia",9,0.719772483207463,1904,0.838261441210224,1379,0.697877137487923,2149,7,3,0,10,248,2004-12-19,2012-12-16,5432,0.741190593504686,2019,1736
"Hubert Wee","Alex Tan","Singapore",1,"Malaysia",10,0.697059283965407,1386,0.844468672476632,1407,0.700323163716018,1567,1,3,0,4,-235,2004-06-28,2005-06-26,4360,0.745802290663687,2019,1769
"Marlon Prudencio","Nigel Richards","Singapore",2,"Malaysia",1,0.191545348561468,3084,0.281699620111481,1438,0.185041338328922,1516,10,33,0,43,-3349,2006-03-19,2014-03-30,6038,0.211383335142518,1900,2332
"Marlon Prudencio","Aaron Chong","Singapore",2,"Malaysia",2,0.503333283951495,1097,0.399637262243129,1150,0.388531695151477,1121,8,12,0,20,-853,2005-12-18,2014-03-30,3368,0.429716001882184,1900,1896
"Marlon Prudencio","Vannitha Balasingam","Singapore",2,"Malaysia",3,0.49500016666,1382,0.725304874036834,1005,0.417901152074609,1456,5,4,0,9,182,2006-12-10,2012-06-29,3843,0.526017618046258,1900,1906
"Marlon Prudencio","Yeo Kian Hung","Singapore",2,"Malaysia",4,0.529964051764572,1936,0.626549393430147,1543,0.442121087112907,1721,17,20,0,37,188,2003-06-29,2014-03-30,5200,0.529551251769277,1900,1864
"Marlon Prudencio","William Kang","Singapore",2,"Malaysia",5,0.684961260029981,1138,0,0,0.502906943990699,1302,3,1,0,4,191,2009-06-19,2012-12-16,2440,0.587815883192627,1900,1667
"Marlon Prudencio","Martin Teo","Singapore",2,"Malaysia",6,0.628705329909708,1183,0.750042170247498,1017,0.494186308528893,1104,4,5,0,9,-54,2009-06-19,2012-12-16,3304,0.621105622591037,1900,1742
"Marlon Prudencio","Vinnith Ramamurti","Singapore",2,"Malaysia",7,0.755223219756757,923,0,0,0.536273371645779,687,0,0,0,0,0,NA,NA,1610,0.661795551649774,1900,1562
"Marlon Prudencio","Jocelyn Lor","Singapore",2,"Malaysia",8,0.668187772168166,1853,0.653332692401981,1641,0.53771890134299,2242,15,12,0,27,289,2003-06-29,2013-12-01,5736,0.612942236204715,1900,1690
"Marlon Prudencio","Tan Jin Chor","Singapore",2,"Malaysia",9,0.633361886978954,1925,0.761839429279895,1180,0.53771890134299,2124,9,7,1,17,516,2005-12-18,2013-07-14,5229,0.623504896813401,1900,1736
"Marlon Prudencio","Alex Tan","Singapore",2,"Malaysia",10,0.607464478149692,1407,0.770175480317927,1208,0.540608035180029,1542,5,2,0,7,414,2009-06-19,2014-01-12,4157,0.629947580281038,1900,1769
"Wong Zhi Yuan","Nigel Richards","Singapore",3,"Malaysia",1,0.132006468951071,2567,0.209891193520225,688,0.142276232889398,1204,0,4,0,4,-457,2009-11-22,2014-01-04,4459,0.146796665471664,1767,2332
