"country","rank","wespa.name","sa.rating.name","sa.h2h.name","sa.rating","sa.games","msa.rating","msa.games","wespa.rating","wespa.games","exp.mixed.win","exp.wespa.win","exp.sa.win","exp.msa.win"
"MY",1,"Nigel Richards","","Nigel Richards",2119,465,2188,1173,2332,2294,16.5442048150287,17.1845898564284,15.55372840055,16.1800673850628
"MY",2,"Aaron Chong","","Aaron Chong",2028,177,2011,778,1896,307,12.6358399709799,12.1239245444945,13.5177742859658,12.3194939814783
"MY",3,"Vannitha Balasingam","","Vannitha Bala",1791,32,1990,1113,1906,592,10.6636497009482,12.2709899760956,7.03535357415338,11.7750787699618
"MY",4,"Yeo Kian Hung","","Yeo Kian Hung Henry",1869,570,1973,1378,1864,1146,10.7730010460227,11.648108108165,9.16517890482906,11.3269849416393
"MY",5,"Martin Teo","","Martin Teo",1769,44,1937,761,1742,393,8.91865252003894,9.79489936943398,6.47416132968009,10.364517028695
"MY",6,"William Kang","","",,,1931,959,1667,348,9.41767257831412,8.66259760277319,20,10.2032141572948
"MY",7,"Vinnith Ramamurti","","",,,1908,344,1562,133,8.17192106494014,7.14588288826662,20,9.5851941307968
"MY",8,"Jocelyn Lor","","Jocelyn Lor",1849,668,1907,1899,1690,1063,9.09004063360305,9.00699561715204,8.60397240596323,9.55837900680339
"MY",9,"Tan Jin Chor","","Tan Jin Chor",1758,207,1907,1781,1736,1135,8.83734913705123,9.70353393124853,6.20226975786369,9.55837900680339
"MY",10,"Alex Tan","","Alex Tan",1750,235,1905,1199,1769,617,8.65240574357519,10.2067360159379,6.00844132527636,9.50477211175282
