"country","rank","wespa.name","sa.rating.name","sa.h2h.name","sa.rating","sa.games","msa.rating","msa.games","wespa.rating","wespa.games","exp.mixed.win","exp.wespa.win","exp.sa.win","exp.msa.win"
"SG",1,"Hubert Wee","Wee Ming Hui, Hubert","Hubert Wee Ming Hui",2028,1180,2051,368,2019,769,13.1463792325118,13.0959910071462,11.2095729519254,12.3763014640898
"SG",2,"Marlon Prudencio","Prudencio, Marlon","Marlon Prudencio",1964,981,1933,343,1900,790,10.9029977435297,11.3954935958616,10.0516805832336,9.16601546939859
"SG",3,"Tony Sim","Sim, Tony","Tony Sim",1905,2055,1914,790,1874,1788,10.4296354800635,11.0065129362308,8.89119040635647,8.64407992707043
"SG",4,"Wong Zhi Yuan","Wong Zhi Yuan","Wong Zhi Yuan",1891,223,1879,31,1767,273,8.78793499331235,9.37605187101916,8.6067774696606,7.70102312579236
"SG",5,"Victor Gwee","Gwee, Victor","Victor Gwee",1889,454,1688,45,1530,192,5.75233394309555,5.9372009726531,8.56594773956548,3.50776018325483
"SG",6,"Victor Chua","Chua Kim Loong, Victor","Victor Chua",1884,832,1965,146,1850,146,10.405975992484,10.6438532084465,8.46368333531632,10.0514288803368
"SG",7,"Ricky Purnomo","Purnomo, Ricky","Ricky Purnomo",1878,1300,1963,491,1834,868,10.3603336945992,10.4006145245848,8.34064098776156,9.99606044688524
"SG",8,"Michael Tang","Tang, Michael","Michael Tang",1871,1254,1889,663,1712,1159,8.80824891205795,8.53856561402178,8.19670813551507,7.96731422876641
"SG",9,"Yong Jian Rong","Yong Jian Rong","Yong Jian Rong",1845,472,2079,12,1309,49,9.49259976111313,3.45474382993364,7.65984912591378,13.0874110774919
"SG",10,"Shim Yen Nee","Shim Yen Nee","Shim Yen Nee",1835,1277,1857,433,1703,441,8.2088230367306,8.40271453010668,7.45306928047007,7.1265246766252
