"Name","Date","Tournament","Division","TotalDivs","Placement","Players","Wins","Margin","GamesFirst","GamesLast","Rating","Norm","NormProgress"
"Tony Sim",1997-10-05,"Singapore National Scrabble Championship 1997",1,2,3,22,9,966,1,14,1660,"","*"
"Cheah Siu Hean",1997-10-05,"Singapore National Scrabble Championship 1997",1,2,15,22,6,-42,1,14,1570,"",""
"Tony Sim",1997-11-30,"5th Kenneth Chen Cup",1,2,1,62,14,1182,15,30,1853,"","*"
"Cheah Siu Hean",1997-11-30,"5th Kenneth Chen Cup",1,2,9,62,10,627,15,30,1691,"","*"
"Ricky Purnomo",1997-11-30,"5th Kenneth Chen Cup",1,2,37,62,7,89,1,16,1544,"",""
"Tony Sim",1998-04-19,"SA mini tournament",1,1,1,14,6,745,31,36,1881,"M","**"
"Cheah Siu Hean",1998-04-19,"SA mini tournament",1,1,13,14,1,-18,31,36,1605,"","*"
"Tony Sim",1998-04-26,"2nd Caldecott Recreation Club Regional Championship",1,1,10,30,10,611,37,54,1831,"NM",""
"Cheah Siu Hean",1998-04-26,"2nd Caldecott Recreation Club Regional Championship",1,1,3,30,12,593,37,54,1721,"M","*"
"Tony Sim",1998-05-31,"4th Hong Kah East CC - St John's Institution Annual Friendly",1,1,2,52,11,1297,55,69,1841,"",""
"Cheah Siu Hean",1998-05-31,"4th Hong Kah East CC - St John's Institution Annual Friendly",1,1,9,52,9,305,55,68,1710,"","*"
"Ricky Purnomo",1998-05-31,"4th Hong Kah East CC - St John's Institution Annual Friendly",1,1,6,52,10,418,17,31,1670,"","*"
"Tony Sim",1998-08-02,"1st Singapore Open Scrabble Championship",1,3,4,24,10,839,70,85,1826,"",""
"Cheah Siu Hean",1998-08-02,"1st Singapore Open Scrabble Championship",1,3,3,24,10,924,69,84,1746,"SM",""
"Ricky Purnomo",1998-08-02,"1st Singapore Open Scrabble Championship",1,3,8,24,9,57,32,47,1725,"","*"
"Tony Sim",1998-08-23,"Asia Pacific Championship qualification tournament",1,1,3,18,5,596,86,93,1820,"",""
"Cheah Siu Hean",1998-08-23,"Asia Pacific Championship qualification tournament",1,1,2,18,6,563,85,92,1774,"",""
"Tony Sim",1998-11-29,"6th Kenneth Chen Cup",1,2,1,42,12,1107,94,109,1836,"",""
"Cheah Siu Hean",1998-11-29,"6th Kenneth Chen Cup",1,2,2,42,12,933,93,108,1809,"","*"
"Ricky Purnomo",1998-11-29,"6th Kenneth Chen Cup",1,2,13,42,9,136,48,63,1695,"M","*"
"Tony Sim",1998-12-06,"Kallang Open Scrabble Championship",1,2,9,26,4,253,110,116,1822,"",""
"Cheah Siu Hean",1998-12-06,"Kallang Open Scrabble Championship",1,2,5,26,5,341,109,115,1807,"","*"
"Ricky Purnomo",1999-05-30,"2nd Singapore Open Scrabble Championship",1,3,7,36,9,219,64,78,1716,"","*"
"Tony Sim",1999-08-29,"Singapore National Scrabble Championship 1999",1,2,1,26,12,808,117,131,1855,"",""
"Cheah Siu Hean",1999-08-29,"Singapore National Scrabble Championship 1999",1,2,2,26,11,499,116,130,1819,"NM",""
"Tony Sim",1999-12-05,"7th Kenneth Chen Cup",1,3,1,34,12,1371,132,147,1880,"",""
"Cheah Siu Hean",1999-12-05,"7th Kenneth Chen Cup",1,3,6,34,10,255,131,146,1827,"",""
"Ricky Purnomo",1999-12-05,"7th Kenneth Chen Cup",1,3,7,34,9,814,79,94,1706,"SM",""
"Tony Sim",2000-02-20,"1st SA Millennium Cup",1,2,1,8,14,1392,148,163,1915,"","*"
"Cheah Siu Hean",2000-02-20,"1st SA Millennium Cup",1,2,2,8,10,1264,147,162,1815,"",""
"Ricky Purnomo",2000-02-20,"1st SA Millennium Cup",1,2,5,8,8,422,95,110,1707,"",""
"Tony Sim",2000-03-05,"Hong Kah East CC mini tournament",1,2,1,10,7,837,164,172,1916,"","*"
"Cheah Siu Hean",2000-03-05,"Hong Kah East CC mini tournament",1,2,2,10,7,295,163,171,1834,"",""
"Tony Sim",2000-03-26,"6th Hong Kah East CC - St John's Institution Annual Friendly",1,1,7,28,9,390,173,188,1860,"",""
"Cheah Siu Hean",2000-03-26,"6th Hong Kah East CC - St John's Institution Annual Friendly",1,1,3,28,11,512,172,187,1848,"",""
"Ricky Purnomo",2000-03-26,"6th Hong Kah East CC - St John's Institution Annual Friendly",1,1,9,28,9,119,111,126,1732,"",""
"Tony Sim",2000-04-16,"Hong Kah East CC mini tournament",1,2,1,8,7,572,189,197,1871,"",""
"Tony Sim",2000-05-21,"3rd Singapore Open Scrabble Championship",1,3,9,28,9,262,198,213,1875,"",""
"Ricky Purnomo",2000-05-21,"3rd Singapore Open Scrabble Championship",1,3,11,28,9,58,127,142,1781,"",""
"Andy Kurnia",2000-05-21,"3rd Singapore Open Scrabble Championship",3,3,14,16,2,-105,1,6,1366,"",""
"Tony Sim",2000-06-11,"Hong Kah East CC mini tournament",1,2,1,10,8,903,214,222,1901,"GM",""
"Cheah Siu Hean",2000-06-11,"Hong Kah East CC mini tournament",1,2,2,10,8,601,188,196,1879,"",""
"Andy Kurnia",2000-06-11,"Hong Kah East CC mini tournament",2,2,10,12,3,3,7,13,1347,"",""
"Tony Sim",2000-07-08,"SA mini tournament",1,1,3,10,6,779,223,231,1893,"",""
"Cheah Siu Hean",2000-07-08,"SA mini tournament",1,1,1,10,7,708,197,205,1891,"",""
"Ricky Purnomo",2000-07-08,"SA mini tournament",1,1,6,10,4,-77,143,151,1760,"",""
