Name,Opp,Tournament,Date,Round,ScoreFor,ScoreAgainst,Difference,Win,Loss,Margin,Source
Victor Chua,Nigel Richards,4th Lim Boon Heng Cup,19 Mar 2006,10,414 -,552,-138,0    -,1,-138,SA
Victor Chua,Nigel Richards,10th Singapore Open Scrabble Championship,27 May 2007,3,385 -,505,-120,0    -,2,-258,SA
Victor Chua,Nigel Richards,6th Lim Boon Heng Cup,16 Mar 2008,3,359 -,343,+16,1    -,2,-242,SA
Victor Chua,Nigel Richards,11th Singapore Open Scrabble Championship,25 May 2008,9,326 -,460,-134,1    -,3,-376,SA
Victor Chua,Nigel Richards,7th Lim Boon Heng Cup,22 Mar 2009,3,372 -,412,-40,1    -,4,-416,SA
Victor Chua,Nigel Richards,12th Singapore Open Scrabble Championship,31 May 2009,7,402 -,586,-184,1    -,5,-600,SA
Victor Chua,Nigel Richards,Yew Tee Scrabble Open Championship 2009,22 Nov 2009,10,368 -,487,-119,1    -,6,-719,SA
Victor Chua,Nigel Richards,8th Lim Boon Heng Cup,7 Mar 2010,4,588 -,409,+179,2    -,6,-540,SA
Victor Chua,Nigel Richards,13th Singapore Open Scrabble Championship,14 Nov 2010,4,446 -,532,-86,2    -,7,-626,SA
Victor Chua,Nigel Richards,Yew Tee Scrabble Open Championship 2010,21 Nov 2010,6,360 -,515,-155,2    -,8,-781,SA
Victor Chua,Aaron Chong,NTU WGS Scrabble Mini 2013,17 Mar 2013,4,494 -,324,+170,1    -,0,+170,SA
Victor Chua,Yeo Kian Hung Henry,4th Lim Boon Heng Cup,19 Mar 2006,1,466 -,421,+45,1    -,0,+45,SA
Victor Chua,Yeo Kian Hung Henry,5th Lim Boon Heng Cup,18 Mar 2007,11,426 -,332,+94,2    -,0,+139,SA
Victor Chua,Yeo Kian Hung Henry,9th SA Millennium Cup,27 Jan 2008,4,371 -,348,+23,3    -,0,+162,SA
Victor Chua,Yeo Kian Hung Henry,9th SA Millennium Cup,27 Jan 2008,16,261 -,542,-281,3    -,1,-119,SA
Victor Chua,Yeo Kian Hung Henry,10th SA Millennium Cup,1 Mar 2009,9,427 -,339,+88,4    -,1,-31,SA
Victor Chua,Yeo Kian Hung Henry,10th SA Millennium Cup,1 Mar 2009,18,428 -,363,+65,5    -,1,+34,SA
Victor Chua,Yeo Kian Hung Henry,12th Singapore Open Scrabble Championship,31 May 2009,10,277 -,525,-248,5    -,2,-214,SA
Victor Chua,Yeo Kian Hung Henry,12th Singapore Open Scrabble Championship,31 May 2009,16,407 -,349,+58,6    -,2,-156,SA
Victor Chua,Yeo Kian Hung Henry,8th Lim Boon Heng Cup,7 Mar 2010,7,422 -,498,-76,6    -,3,-232,SA
Victor Chua,Yeo Kian Hung Henry,12th SA Millennium Cup,23 Jan 2011,14,468 -,332,+136,7    -,3,-96,SA
Victor Chua,Yeo Kian Hung Henry,12th SA Millennium Cup,23 Jan 2011,19,370 -,315,+55,8    -,3,-41,SA
Victor Chua,Jocelyn Lor,4th Lim Boon Heng Cup,19 Mar 2006,11,400 -,489,-89,0    -,1,-89,SA
Victor Chua,Jocelyn Lor,9th Singapore Open Scrabble Championship,28 May 2006,14,449 -,449,0,½ -,1½,-89,SA
Victor Chua,Jocelyn Lor,9th Singapore Open Scrabble Championship,28 May 2006,15,419 -,393,+26,1½ -,1½,-63,SA
Victor Chua,Jocelyn Lor,5th Lim Boon Heng Cup,18 Mar 2007,2,471 -,358,+113,2½ -,1½,+50,SA
Victor Chua,Jocelyn Lor,9th SA Millennium Cup,27 Jan 2008,1,548 -,460,+88,3½ -,1½,+138,SA
Victor Chua,Jocelyn Lor,6th Lim Boon Heng Cup,16 Mar 2008,8,401 -,375,+26,4½ -,1½,+164,SA
Victor Chua,Jocelyn Lor,7th Lim Boon Heng Cup,22 Mar 2009,8,444 -,360,+84,5½ -,1½,+248,SA
Victor Chua,Jocelyn Lor,7th Lim Boon Heng Cup,22 Mar 2009,16,398 -,407,-9,5½ -,2½,+239,SA
Victor Chua,Jocelyn Lor,12th Singapore Open Scrabble Championship,31 May 2009,11,351 -,498,-147,5½ -,3½,+92,SA
Victor Chua,Jocelyn Lor,Yew Tee Scrabble Open Championship 2009,22 Nov 2009,1,412 -,469,-57,5½ -,4½,+35,SA
Victor Chua,Jocelyn Lor,8th Lim Boon Heng Cup,7 Mar 2010,10,383 -,343,+40,6½ -,4½,+75,SA
Victor Chua,Jocelyn Lor,8th Lim Boon Heng Cup,7 Mar 2010,14,478 -,357,+121,7½ -,4½,+196,SA
Victor Chua,Jocelyn Lor,13th Singapore Open Scrabble Championship,14 Nov 2010,13,374 -,384,-10,7½ -,5½,+186,SA
Victor Chua,Jocelyn Lor,Yew Tee Scrabble Open Championship 2010,21 Nov 2010,2,379 -,327,+52,8½ -,5½,+238,SA
Victor Chua,Jocelyn Lor,Yew Tee Scrabble Open Championship 2010,21 Nov 2010,16,329 -,453,-124,8½ -,6½,+114,SA
Victor Chua,Tan Jin Chor,Grandeur 8 mini tournament,28 Sep 2008,2,491 -,377,+114,1    -,0,+114,SA
Victor Chua,Tan Jin Chor,8th Lim Boon Heng Cup,7 Mar 2010,11,448 -,446,+2,2    -,0,+116,SA
Victor Chua,Tan Jin Chor,8th Lim Boon Heng Cup,7 Mar 2010,16,527 -,312,+215,3    -,0,+331,SA
Victor Chua,Alex Tan,13th Singapore Open Scrabble Championship,14 Nov 2010,1,486 -,395,+91,1    -,0,+91,SA
Victor Chua,Alex Tan,13th Singapore Open Scrabble Championship,14 Nov 2010,16,466 -,301,+165,2    -,0,+256,SA
Victor Chua,Alex Tan,13th Singapore Open Scrabble Championship,14 Nov 2010,17,272 -,442,-170,2    -,1,+86,SA
Victor Gwee,Nigel Richards,13th Singapore Open Scrabble Championship,14 Nov 2010,7,336 -,519,-183,0    -,1,-183,SA
Victor Gwee,Aaron Chong,Jurong Green CC mini tournament,12 Aug 2012,5,389 -,511,-122,0    -,1,-122,SA
Victor Gwee,Aaron Chong,15th Singapore Open Scrabble Championship,18 Nov 2012,6,339 -,398,-59,0    -,2,-181,SA
Victor Gwee,Aaron Chong,Jurong Green CC mini tournament,12 May 2013,2,402 -,527,-125,0    -,3,-306,SA
Victor Gwee,Aaron Chong,Jurong Green CC mini tournament,12 May 2013,9,520 -,354,+166,1    -,3,-140,SA
Victor Gwee,Martin Teo,14th Singapore Open Scrabble Championship,27 Nov 2011,10,417 -,365,+52,1    -,0,+52,SA
Victor Gwee,Jocelyn Lor,12th Singapore Open Scrabble Championship,31 May 2009,7,393 -,409,-16,0    -,1,-16,SA
Victor Gwee,Jocelyn Lor,12th Singapore Open Scrabble Championship,31 May 2009,13,416 -,452,-36,0    -,2,-52,SA
Victor Gwee,Jocelyn Lor,13th Singapore Open Scrabble Championship,14 Nov 2010,15,384 -,464,-80,0    -,3,-132,SA
Victor Gwee,Jocelyn Lor,12th SA Millennium Cup,23 Jan 2011,1,441 -,394,+47,1    -,3,-85,SA
Victor Gwee,Jocelyn Lor,12th SA Millennium Cup,23 Jan 2011,10,331 -,386,-55,1    -,4,-140,SA
Victor Gwee,Jocelyn Lor,14th Singapore Open Scrabble Championship,27 Nov 2011,11,249 -,501,-252,1    -,5,-392,SA
Victor Gwee,Jocelyn Lor,13th SA Millennium Cup,15 Jan 2012,13,389 -,423,-34,1    -,6,-426,SA
Victor Gwee,Jocelyn Lor,13th SA Millennium Cup,15 Jan 2012,14,356 -,344,+12,2    -,6,-414,SA
