Bingo,Score,Player,Round
AERATED,82,Jeremy Khoo,1
TENSESt,72,Jeremy Khoo,1
POISING,79,Leon Tan,1
ANISOLE,65,Yong Jian Rong,1
BIRDIES,70,Yong Jian Rong,1
SPUTTERS,83,Yong Jian Rong,1
SEMINARY,88,Shim Yen Nee,1
OUTFACED,100,Lim Li Wei,1
OUTEATEN,59,Lim Li Wei,1
EPISTLED,88,Lim Li Wei,1
GYMNASIA,80,Lee Guan Hui,1
REGALIST,80,Lee Guan Hui,1
BUDDIES,108,Gabriel Cheang,1
BEASTIES,68,Gabriel Cheang,1
PROTRUDE,62,Gabriel Cheang,1
OUTLETS,65,Lee Cheong Cheng,1
TORSIVE,79,Lee Cheong Cheng,1
PARALYZE,82,Hubert Wee,1
INTEGRIN,80,Hubert Wee,1
REVEALED,72,Hubert Wee,1
SCOOTER,72,Hubert Wee,1
INVITERS,86,Hubert Wee,1
LENITION,68,Tay Jing En,1
REGULARS,58,Tay Jing En,1
ELEVATES,83,Tay Jing En,1
IODATION,63,Cheah Siu Hean,1
TRAIPSE,95,Cheah Siu Hean,1
OPUNTIA,68,Michael Tang,1
POUTHER,112,Michael Tang,1
IOLITES,77,Tony Sim,1
AIRfARE,68,Andy Kurnia,1
SALUTER,75,Andy Kurnia,1
DaNCIEST,83,Andy Kurnia,1
ABOITEAU,74,J Jeyaseelan,1
NEURONAL,66,Marlon Prudencio,2
DISEASED,70,Marlon Prudencio,2
INTENDED,62,Marlon Prudencio,2
QUERIES,94,Cheah Siu Hean,2
TERTIAN,66,Tay Jing En,2
MOODIEST,76,Tay Jing En,2
MERINOS,83,Tay Jing En,2
TWINNED,65,Tay Jing En,2
DEVOTES,86,Jeremy Khoo,2
VAUNTER,82,Jeremy Khoo,2
OATLIKE,72,Gabriel Cheang,2
SALTING,74,Leon Tan,2
NOTAIRE,61,Leon Tan,2
STUNTING,68,Yong Jian Rong,2
STRAFING,76,Yong Jian Rong,2
DIORITE,76,Lee Cheong Cheng,2
OMITTERS,62,Lee Guan Hui,2
SaGOUINS,77,Lee Guan Hui,2
ENdEARS,60,Tony Sim,2
SAILINGS,61,J Jeyaseelan,2
KATORGAS,72,J Jeyaseelan,2
RETINES,71,J Jeyaseelan,2
LLANERO,72,J Jeyaseelan,2
CRAFTIER,78,Shim Yen Nee,2
DENIERS,87,Lim Li Wei,2
ANTIFOg,84,Lim Li Wei,2
SHORTIE,81,Lim Li Wei,2
PRINCED,85,Andy Kurnia,2
INVERTS,80,Michael Tang,2
SLATING,80,Michael Tang,2
REMIXING,86,Michael Tang,2
HOURLIES,68,Michael Tang,2
ECTASIA,73,Hubert Wee,2
DIPNETS,72,Andy Kurnia,3
FIREWOOD,80,Tony Sim,3
SAnGRIA,68,Tony Sim,3
SETTLES,85,Gabriel Cheang,3
PRENTICE,74,Gabriel Cheang,3
RETSINAS,122,Jeremy Khoo,3
IGNITES,66,Leon Tan,3
SuLTANS,94,Leon Tan,3
SPoONED,74,Leon Tan,3
INVERSE,72,J Jeyaseelan,3
CITRINE,76,J Jeyaseelan,3
STIRRED,75,J Jeyaseelan,3
ENJOINS,84,Lee Cheong Cheng,3
EMIRATE,72,Michael Tang,3
STUMBLE,86,Cheah Siu Hean,3
AGONIZE,85,Lim Li Wei,3
LIBERATE,81,Lim Li Wei,3
UNRAISED,80,Shim Yen Nee,3
URAEMIAS,61,Marlon Prudencio,3
FLOUTING,72,Marlon Prudencio,3
TAJINES,115,Tay Jing En,3
INVERTED,76,Hubert Wee,3
TRANNIES,77,Hubert Wee,3
BELOVING,68,Lee Guan Hui,3
OUTSpOKE,83,Lee Guan Hui,3
_NA,,J Jeyaseelan,4
_NA,,Leon Tan,4
REPRIEVE,78,Lee Cheong Cheng,4
SETLINE,69,Lee Cheong Cheng,4
CURLERS,78,Lee Cheong Cheng,4
STORAGES,70,Lim Li Wei,4
ROARERS,73,Tony Sim,4
DIALOGER,70,Tony Sim,4
CHABLIS,91,Shim Yen Nee,4
TOPSIDE,76,Shim Yen Nee,4
AEROLITES,80,Andy Kurnia,4
SCENARIO,70,Andy Kurnia,4
STINTEd,82,Hubert Wee,4
REAdIER,70,Hubert Wee,4
INAUrATE,64,Lee Guan Hui,4
LAUWINES,72,Lee Guan Hui,4
EVACUATE,78,Lee Guan Hui,4
SITELLa,74,Lee Guan Hui,4
SKEERING,83,Cheah Siu Hean,4
STINGER,80,Cheah Siu Hean,4
SINOPIA,68,Marlon Prudencio,4
SLURRIES,59,Marlon Prudencio,4
METALIZE,92,Marlon Prudencio,4
TRENDIFY,66,Marlon Prudencio,4
AEOLIAN,83,Michael Tang,4
ALOEtIC,73,Jeremy Khoo,4
ATONIES,77,Jeremy Khoo,4
TARGETED,86,Yong Jian Rong,4
URAEMIC,71,Yong Jian Rong,4
SPOONED,82,Gabriel Cheang,4
TRITONIA,127,Gabriel Cheang,4
AUNTIES,70,Tay Jing En,4
SCARLET,91,Tay Jing En,4
NARCOSE,77,Tay Jing En,4
INDIGENE,88,Marlon Prudencio,5
DINGERS,79,Marlon Prudencio,5
RILLETS,74,Marlon Prudencio,5
TROOLIE,66,Lee Guan Hui,5
DESTINE,71,Lee Guan Hui,5
bAUXITES,176,Andy Kurnia,5
REPEALEd,61,Andy Kurnia,5
PLASTRON,72,Cheah Siu Hean,5
SIGNORES,77,Tay Jing En,5
STRAKING*,80,Tay Jing En,5
LACTOSE,75,Tay Jing En,5
INSOULED,68,Michael Tang,5
SACCULAR,77,Hubert Wee,5
FILTHIER,78,Hubert Wee,5
RADOMES,74,Shim Yen Nee,5
DINEROS,72,Shim Yen Nee,5
SLOWEST,81,Leon Tan,5
DEROGATE,77,Tony Sim,5
NITERIES,131,Tony Sim,5
AGONIST,79,Tony Sim,5
RUBELLAS,62,Tony Sim,5
TAWDRIER,81,Lee Cheong Cheng,5
EASTERN,63,Lee Cheong Cheng,5
EMIRATES,86,Lee Cheong Cheng,5
LIMEADE,76,Yong Jian Rong,5
TITRANT,79,Yong Jian Rong,5
DIETERS,74,J Jeyaseelan,5
RUSSIAs,74,Cheah Siu Hean,6
ENSILES,76,Shim Yen Nee,6
SAVOURER,74,Hubert Wee,6
DISCRETE,84,Lee Cheong Cheng,6
SHORTIAS,72,Marlon Prudencio,6
ELONGATE,72,Marlon Prudencio,6
SLUEInG,78,Marlon Prudencio,6
ABRiDGES,94,Andy Kurnia,6
ENDARTS,73,Andy Kurnia,6
PALLETs,67,Jeremy Khoo,6
FANTEEgS,83,Lim Li Wei,6
TWOONIE,67,Tony Sim,6
OTTAVINO,83,Tony Sim,6
KNEELERS,86,Tony Sim,6
ENTAILS,85,Leon Tan,6
ENTASIA,73,Tay Jing En,6
TSARINA,69,Tay Jing En,6
REASTIER,87,Yong Jian Rong,6
BETRAYED,69,Michael Tang,6
ENDURERS,86,Michael Tang,6
GAWSIER,65,Michael Tang,6
CANIEST,89,Lee Guan Hui,6
SNOWILY,95,J Jeyaseelan,6
RELENTED,68,J Jeyaseelan,6
SALICET,70,Gabriel Cheang,6
RIGATONI,70,Gabriel Cheang,6
RABATTED,67,Hubert Wee,7
VISITORS,62,Leon Tan,7
MASTERS,73,Leon Tan,7
FOOTMEN,79,Marlon Prudencio,7
RADIANS,73,Shim Yen Nee,7
RECuILES,145,Cheah Siu Hean,7
PRIVATE,93,Cheah Siu Hean,7
gRANULE,70,Lee Cheong Cheng,7
DUNGIER,94,Yong Jian Rong,7
CALOTTE,68,Yong Jian Rong,7
RESALUTE,64,J Jeyaseelan,7
TOLLGATE,68,J Jeyaseelan,7
RIBSTONE,86,Tony Sim,7
CINEAST,80,Tony Sim,7
PRILLED,92,Tony Sim,7
TAINTED,70,Jeremy Khoo,7
TARGETS,75,Jeremy Khoo,7
SPINULAE,88,Lim Li Wei,7
METALED,86,Lim Li Wei,7
ORGANISE,74,Gabriel Cheang,7
LEADWORT,89,Gabriel Cheang,7
SAPIENT,79,Michael Tang,7
RETSINAS,81,Andy Kurnia,7
TOOTHIER,101,Andy Kurnia,7
DETAILS,87,Tay Jing En,7
STEADIER,66,Tay Jing En,7
STOOLIES,75,Lee Guan Hui,7
TRITONIA,68,Lee Guan Hui,7
SHAGGIER,76,Gabriel Cheang,8
ROILIEST,70,Gabriel Cheang,8
SOAPIER,77,Tony Sim,8
LINTIER,73,Tony Sim,8
REAVING,95,Tay Jing En,8
RAIMENTS,89,Tay Jing En,8
SOLANDS,79,Tay Jing En,8
CURLING,77,J Jeyaseelan,8
DANEWORT,94,J Jeyaseelan,8
SHRUNKEN,70,Hubert Wee,8
UNREINED,64,Hubert Wee,8
DINNERS,67,Hubert Wee,8
FILENAME,67,Jeremy Khoo,8
EXPIRED,96,Michael Tang,8
REUNITE,68,Michael Tang,8
FRISTING,77,Shim Yen Nee,8
ASSOILED,59,Shim Yen Nee,8
URINOSE,66,Andy Kurnia,8
SNORING,76,Andy Kurnia,8
HoARDeRS,93,Andy Kurnia,8
TESTIER,75,Marlon Prudencio,8
LAIRISED,62,Lee Cheong Cheng,8
EMEROID,89,Lee Cheong Cheng,8
GOURDIER,83,Cheah Siu Hean,8
STRINGED,64,Cheah Siu Hean,8
INSOfAR,85,Leon Tan,8
COUPLET,72,Leon Tan,8
NAILSETS,70,Leon Tan,8
ETHANOIC,86,Lim Li Wei,8
MATURING,86,Lim Li Wei,8
OUTEDGES,63,Yong Jian Rong,8
RANCOURS,66,Yong Jian Rong,8
GAUzIER,73,Marlon Prudencio,9
UNTHREAD,63,Marlon Prudencio,9
STERILE,75,Leon Tan,9
MEANEST,63,Leon Tan,9
PROUDEST,89,Gabriel Cheang,9
NOTAIRE,75,Hubert Wee,9
STANHOPE,94,Hubert Wee,9
ORDINAR,75,Andy Kurnia,9
TAINTURE,77,Andy Kurnia,9
MEATIER,76,Tay Jing En,9
TANGLED,74,Tay Jing En,9
EASIEST,70,Tay Jing En,9
FUNNeST,90,Jeremy Khoo,9
PRONATES,90,Jeremy Khoo,9
SOLIDATE,83,Cheah Siu Hean,9
MORGUEs,70,Cheah Siu Hean,9
AMNIOTE,76,Michael Tang,9
TURTLES,76,Lee Cheong Cheng,9
RETAILS,72,Yong Jian Rong,9
IODIZERS,70,Tony Sim,9
SPINAGE,73,Tony Sim,9
UREDINIA,61,Lim Li Wei,9
AEROSAT,60,J Jeyaseelan,9
INSTATE,68,J Jeyaseelan,9
QUICKEST,98,J Jeyaseelan,9
INVALID,78,Shim Yen Nee,9
STHENIAS,82,Shim Yen Nee,9
ENSEAMS,93,Shim Yen Nee,9
fOGGIER,69,Lee Guan Hui,9
rEAVOWED,80,Lee Guan Hui,9
AVERTING,72,Jeremy Khoo,10
RAnSOMED,90,Jeremy Khoo,10
SEAWOmEN,83,Marlon Prudencio,10
SPIRITED,98,Marlon Prudencio,10
STRIATA,79,Marlon Prudencio,10
OXALATES,98,Andy Kurnia,10
BEWAiLED,67,Andy Kurnia,10
EGOTISES,60,Andy Kurnia,10
REALIzE,72,Shim Yen Nee,10
DENARII,72,Shim Yen Nee,10
YEARLIES,65,J Jeyaseelan,10
CINEREAS,71,J Jeyaseelan,10
BILLONS,69,J Jeyaseelan,10
MISPRIZE,127,Michael Tang,10
RETAPING,75,Michael Tang,10
DOTTING,71,Leon Tan,10
SCRIEVE,89,Yong Jian Rong,10
TEARIER,68,Yong Jian Rong,10
BANDAGES,149,Yong Jian Rong,10
IRONMAN,78,Hubert Wee,10
REORDAIN,72,Lim Li Wei,10
PALMIET,82,Lim Li Wei,10
TEETOTAL,74,Tay Jing En,10
DIAMINE,79,Lee Cheong Cheng,10
HEISTERS,91,Cheah Siu Hean,10
URALITE,68,Cheah Siu Hean,10
GALENITE,61,Cheah Siu Hean,10
BEADINGS,92,Gabriel Cheang,10
PROTEGE,67,J Jeyaseelan,11
SAUNTED,84,J Jeyaseelan,11
RESILINS,73,J Jeyaseelan,11
FELLATED,77,J Jeyaseelan,11
ATTORNEY,68,Hubert Wee,11
MOTLIER,90,Hubert Wee,11
SDEIGNS,70,Michael Tang,11
GRECIAN,78,Michael Tang,11
RESTAGE,74,Jeremy Khoo,11
NECTARY,74,Shim Yen Nee,11
OUTCRIES,74,Shim Yen Nee,11
LEAVIER,104,Shim Yen Nee,11
MARAUDS,83,Lim Li Wei,11
UNNERVES,72,Lim Li Wei,11
VERIFIED,86,Lim Li Wei,11
ALLURED,62,Lee Cheong Cheng,11
ATONIES,68,Lee Cheong Cheng,11
HARDING*,88,Andy Kurnia,11
LATHERS,72,Gabriel Cheang,11
NITRIDS,70,Gabriel Cheang,11
SPURRERS,91,Gabriel Cheang,11
JAGGIEST,84,Marlon Prudencio,11
tHRONED,79,Lee Guan Hui,11
SPRINTED,78,Lee Guan Hui,11
RETURNIK,72,Lee Guan Hui,11
OUTSAIL,65,Leon Tan,11
RESIANT,83,Leon Tan,11
EROTEMA,68,Yong Jian Rong,11
OVERTAX,130,Yong Jian Rong,11
DENTINS,89,Yong Jian Rong,11
WEIRDEST,76,Cheah Siu Hean,11
OBLIGATE,77,Cheah Siu Hean,11
TITTERS,73,Lee Cheong Cheng,12
CROONED,73,Lee Cheong Cheng,12
REUNITED,64,Shim Yen Nee,12
ANSATED,74,Marlon Prudencio,12
STEELIE,77,Marlon Prudencio,12
DESIRED,81,Michael Tang,12
LIGURES,70,Michael Tang,12
KNOTTERS,63,Gabriel Cheang,12
VENISON,77,Gabriel Cheang,12
bARIUMS,72,Cheah Siu Hean,12
IRONERS,70,Cheah Siu Hean,12
CUNEaTE,66,J Jeyaseelan,12
REVISALS,74,J Jeyaseelan,12
ATHEISTS,67,Tay Jing En,12
InDITER,74,Leon Tan,12
bENDIER,78,Leon Tan,12
GREASIER,80,Andy Kurnia,12
WRITINGS,80,Hubert Wee,12
DISSEAT,94,Hubert Wee,12
EVERSION,63,Hubert Wee,12
SEALANT,68,Hubert Wee,12
NATURAL,66,Hubert Wee,12
ORDINEE,75,Lim Li Wei,12
STUNNeRS,57,Jeremy Khoo,12
CAPTIVES,98,Jeremy Khoo,12
DESOLATE,80,Lee Guan Hui,12
ReCOALED,77,Lee Guan Hui,12
WINIEST,80,Yong Jian Rong,13
AVERTED,88,Yong Jian Rong,13
RETAINED,74,Yong Jian Rong,13
ENTREAT,69,Shim Yen Nee,13
WAILSOME,82,Shim Yen Nee,13
WILTERS*,80,Leon Tan,13
MILDENED,64,Cheah Siu Hean,13
BERGAMOT,90,Cheah Siu Hean,13
PENALISE,83,Cheah Siu Hean,13
COTTISED,76,Lim Li Wei,13
RECOUNTS,61,Lim Li Wei,13
DEISEAL,85,Gabriel Cheang,13
SALUTOR*,68,Gabriel Cheang,13
SKEWERS,70,Lee Guan Hui,13
LEGATORS,60,Lee Guan Hui,13
REFUTES,69,Lee Cheong Cheng,13
STRIATE,87,Lee Cheong Cheng,13
VITAMIN,78,Lee Cheong Cheng,13
DEARNESS,80,Tay Jing En,13
AEGIRITE,68,Jeremy Khoo,13
ERUPTED,91,Jeremy Khoo,13
MAZINESS,115,Andy Kurnia,13
REVIEWED,78,Andy Kurnia,13
VAINEST,72,Hubert Wee,13
INFORCED,78,Hubert Wee,13
UNMOORED,62,Hubert Wee,13
TRYSAIL,87,Hubert Wee,13
TAENIAS,65,Tony Sim,13
LINGUINE,75,Tony Sim,13
TELERAN,69,Tony Sim,13
ALEXINS,84,Marlon Prudencio,13
STEARED,70,Marlon Prudencio,13
GENTLES,75,J Jeyaseelan,13
TENDRES,63,J Jeyaseelan,13
hAYIEST,66,Hubert Wee,15
REFOOTED,62,Hubert Wee,15
ARSeHOLE,90,Hubert Wee,15
TUTTIES,73,Cheah Siu Hean,15
HOARIEST,74,Tony Sim,14
LEADIEST,74,Tony Sim,14
DENTOID,72,Cheah Siu Hean,14
AGENESIA,86,Cheah Siu Hean,14
GAUCIESt,88,Gabriel Cheang,14
ECOTAGEs,75,Gabriel Cheang,14
UNELATED,72,Gabriel Cheang,14
INTITULE,64,Andy Kurnia,14
OWRELAY,63,J Jeyaseelan,14
REVERSO,70,J Jeyaseelan,14
IMPAIRED,102,J Jeyaseelan,14
TROOLIES,66,J Jeyaseelan,14
SENOPIA,73,Michael Tang,14
