"player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","blank","j","q","x","z","s","overtime","minute","second","power.tiles","bingo.count","bingo.points"
"Cheah Siu Hean",1,375,15,1,"N",0,"Lose","Y","Tay Jing En",484,-109,0,0,0,1,1,1,"",NA,NA,3,2,158
"Hubert Wee",1,573,3,2,"N",1,"Win","N","Marlon Prudencio",358,215,2,0,1,0,1,1,"",NA,NA,5,5,392
"Marlon Prudencio",1,358,2,3,"N",0,"Lose","Y","Hubert Wee",573,-215,0,1,0,1,0,3,"",NA,NA,5,0,0
"Tony Sim",1,371,5,4,"N",0,"Lose","N","Michael Tang",446,-75,1,0,1,0,1,3,"N",0,13,6,1,77
"Michael Tang",1,446,4,5,"N",1,"Win","Y","Tony Sim",371,75,1,1,0,1,0,1,"N",2,42,4,2,180
"Lim Li Wei",1,471,7,6,"N",1,"Win","N","Lee Guan Hui",432,39,1,0,0,1,1,2,"N",1,25,5,3,247
"Lee Guan Hui",1,432,6,7,"N",0,"Lose","Y","Lim Li Wei",471,-39,1,1,1,0,0,2,"N",4,41,5,2,160
"J Jeyaseelan",1,399,9,8,"N",0,"Lose","N","Andy Kurnia",458,-59,0,0,0,0,1,2,"Y",0,25,3,1,74
"Andy Kurnia",1,458,8,9,"N",1,"Win","Y","J Jeyaseelan",399,59,2,1,1,1,0,2,"N",3,39,7,3,226
"Yong Jian Rong",1,475,11,10,"N",1,"Win","N","Shim Yen Nee",406,69,1,0,0,0,0,3,"N",0,12,4,3,218
"Shim Yen Nee",1,406,10,11,"N",0,"Lose","Y","Yong Jian Rong",475,-69,1,1,1,1,1,1,"N",3,25,6,1,88
"Gabriel Cheang",1,504,13,12,"N",1,"Win","N","Lee Cheong Cheng",420,84,1,0,0,0,1,3,"N",4,13,5,3,238
"Lee Cheong Cheng",1,420,12,13,"N",0,"Lose","Y","Gabriel Cheang",504,-84,1,1,1,1,0,1,"N",1,41,5,2,144
"Jeremy Khoo",1,473,16,14,"N",1,"Win","N","Leon Tan",391,82,1,0,0,0,1,3,"N",0,13,5,2,154
"Tay Jing En",1,484,1,15,"N",1,"Win","N","Cheah Siu Hean",375,109,2,1,1,0,0,3,"",NA,NA,7,3,209
"Leon Tan",1,391,14,16,"N",0,"Lose","Y","Jeremy Khoo",473,-82,1,1,1,1,0,1,"N",0,50,5,1,79
"Cheah Siu Hean",2,381,3,1,"N",0,"Lose","Y","Marlon Prudencio",442,-61,1,0,1,0,0,1,"N",11,15,3,1,94
"Hubert Wee",2,371,5,2,"N",0,"Lose","Y","Michael Tang",506,-135,0,1,1,0,1,2,"N",7,57,5,1,73
"Marlon Prudencio",2,442,1,3,"N",1,"Win","N","Cheah Siu Hean",381,61,1,1,0,1,1,3,"N",2,23,7,3,198
"Tony Sim",2,364,7,4,"N",0,"Lose","Y","Lee Guan Hui",428,-64,1,0,0,0,1,3,"",NA,NA,5,1,60
"Michael Tang",2,506,2,5,"N",1,"Win","N","Hubert Wee",371,135,2,0,0,1,0,2,"N",2,21,5,4,314
"Lim Li Wei",2,495,9,6,"N",1,"Win","Y","Andy Kurnia",385,110,2,1,1,0,1,4,"N",0,22,9,3,252
"Lee Guan Hui",2,428,4,7,"N",1,"Win","N","Tony Sim",364,64,1,1,1,1,0,1,"",NA,NA,5,2,139
"J Jeyaseelan",2,453,11,8,"N",1,"Win","Y","Shim Yen Nee",361,92,2,0,0,0,0,4,"N",3,40,6,4,276
"Andy Kurnia",2,385,6,9,"N",0,"Lose","N","Lim Li Wei",495,-110,0,0,0,1,0,0,"N",3,19,1,1,85
"Yong Jian Rong",2,477,13,10,"N",1,"Win","Y","Lee Cheong Cheng",337,140,1,0,0,1,1,3,"Y",0,1,6,2,144
"Shim Yen Nee",2,361,8,11,"N",0,"Lose","N","J Jeyaseelan",453,-92,0,1,1,1,1,0,"N",3,33,4,1,78
"Gabriel Cheang",2,452,16,12,"N",1,"Win","Y","Leon Tan",393,59,1,1,0,0,1,2,"N",6,12,5,1,72
"Lee Cheong Cheng",2,337,10,13,"N",0,"Lose","N","Yong Jian Rong",477,-140,1,1,1,0,0,1,"N",1,21,4,1,76
"Jeremy Khoo",2,450,15,14,"N",0,"Lose","N","Tay Jing En",517,-67,1,1,0,1,0,1,"N",2,6,4,2,168
"Tay Jing En",2,517,14,15,"N",1,"Win","Y","Jeremy Khoo",450,67,1,0,1,0,1,3,"N",7,11,6,4,290
"Leon Tan",2,393,12,16,"N",0,"Lose","N","Gabriel Cheang",452,-59,1,0,1,1,0,2,"N",4,4,5,2,135
"Cheah Siu Hean",3,341,5,1,"N",0,"Lose","N","Michael Tang",379,-38,1,1,0,1,0,2,"N",13,2,5,1,86
"Hubert Wee",3,479,7,2,"N",1,"Win","N","Lee Guan Hui",375,104,0,1,0,1,1,2,"",NA,NA,5,2,153
"Marlon Prudencio",3,447,15,3,"N",1,"Win","N","Tay Jing En",381,66,1,0,0,0,1,2,"N",0,17,4,2,133
"Tony Sim",3,428,9,4,"N",0,"Lose","N","Andy Kurnia",457,-29,1,1,1,0,0,1,"N",1,22,4,2,148
"Michael Tang",3,379,1,5,"N",1,"Win","Y","Cheah Siu Hean",341,38,1,0,1,0,1,2,"N",1,30,5,1,72
"Lim Li Wei",3,397,11,6,"N",1,"Win","N","Shim Yen Nee",344,53,2,0,1,0,1,0,"Y",2,39,4,2,166
"Lee Guan Hui",3,375,2,7,"N",0,"Lose","Y","Hubert Wee",479,-104,2,0,1,0,0,2,"",NA,NA,5,2,151
"J Jeyaseelan",3,521,13,8,"N",1,"Win","N","Lee Cheong Cheng",324,197,2,0,0,1,1,4,"N",5,4,8,3,223
"Andy Kurnia",3,457,4,9,"N",1,"Win","Y","Tony Sim",428,29,1,0,0,1,1,3,"N",0,30,6,1,72
"Yong Jian Rong",3,355,16,10,"N",0,"Lose","N","Leon Tan",517,-162,0,1,0,1,0,0,"N",2,42,2,0,0
"Shim Yen Nee",3,344,6,11,"N",0,"Lose","Y","Lim Li Wei",397,-53,0,1,0,1,0,4,"N",4,30,6,1,80
"Gabriel Cheang",3,445,14,12,"N",1,"Win","N","Jeremy Khoo",381,64,1,1,0,0,0,2,"N",4,40,4,2,159
"Lee Cheong Cheng",3,324,8,13,"N",0,"Lose","Y","J Jeyaseelan",521,-197,0,1,1,0,0,0,"N",5,27,2,1,84
