Round,Player,Blank,J,Q,X,Z,S,Overtime,Minute,Second
1,Jeremy Khoo,1,0,0,0,1,3,N,0,13
1,Leon Tan,1,1,1,1,0,1,N,0,50
1,Yong Jian Rong,1,0,0,0,0,3,N,0,12
1,Shim Yen Nee,1,1,1,1,1,1,N,3,25
1,Lim Li Wei,1,0,0,1,1,2,N,1,25
1,Lee Guan Hui,1,1,1,0,0,2,N,4,41
1,Gabriel Cheang,1,0,0,0,1,3,N,4,13
1,Lee Cheong Cheng,1,1,1,1,0,1,N,1,41
1,Hubert Wee,2,0,1,0,1,1,,,
1,Marlon Prudencio,0,1,0,1,0,3,,,
1,Tay Jing En,2,1,1,0,0,3,,,
1,Cheah Siu Hean,0,0,0,1,1,1,,,
1,Michael Tang,1,1,0,1,0,1,N,2,42
1,Tony Sim,1,0,1,0,1,3,N,0,13
1,Andy Kurnia,2,1,1,1,0,2,N,3,39
1,J Jeyaseelan,0,0,0,0,1,2,Y,0,25
2,Marlon Prudencio,1,1,0,1,1,3,N,2,23
2,Cheah Siu Hean,1,0,1,0,0,1,N,11,15
2,Tay Jing En,1,0,1,0,1,3,N,7,11
2,Jeremy Khoo,1,1,0,1,0,1,N,2,6
2,Gabriel Cheang,1,1,0,0,1,2,N,6,12
2,Leon Tan,1,0,1,1,0,2,N,4,4
2,Yong Jian Rong,1,0,0,1,1,3,Y,0,1
2,Lee Cheong Cheng,1,1,1,0,0,1,N,1,21
2,Lee Guan Hui,1,1,1,1,0,1,,,
2,Tony Sim,1,0,0,0,1,3,,,
2,J Jeyaseelan,2,0,0,0,0,4,N,3,40
2,Shim Yen Nee,0,1,1,1,1,0,N,3,33
2,Lim Li Wei,2,1,1,0,1,4,N,0,22
2,Andy Kurnia,0,0,0,1,0,0,N,3,19
2,Michael Tang,2,0,0,1,0,2,N,2,21
2,Hubert Wee,0,1,1,0,1,2,N,7,57
3,Andy Kurnia,1,0,0,1,1,3,N,0,30
3,Tony Sim,1,1,1,0,0,1,N,1,22
3,Gabriel Cheang,1,1,0,0,0,2,N,4,40
3,Jeremy Khoo,1,0,1,1,1,2,N,10,0
3,Leon Tan,2,0,1,0,1,4,N,4,18
3,Yong Jian Rong,0,1,0,1,0,0,N,2,42
3,J Jeyaseelan,2,0,0,1,1,4,N,5,4
3,Lee Cheong Cheng,0,1,1,0,0,0,N,5,27
