Bingo,Score,Player,Round
VARIANT,76,S Shantikumar,1
NASTIER,83,Lee Chee Meng,1
HUNTERS,73,Lee Chee Meng,1
LUSTIEST,75,Valliamah Thambiaya,1
STAINER,75,Lee Chee Meng,2
TENAILS,62,Nicholas Lee,2
VIOLETS,79,Khumraj Thapa,2
ROUTINE,66,Shukra Raj Gurung,2
REPRICE,79,S Shantikumar,2
AILINGS*,73,Nicholas Lee,3
IDOLIST,74,Valliamah Thambiaya,3
POSITED,74,Lee Chee Meng,3
LITTERS,69,Lee Chee Meng,3
AUNTIES,62,Lee Chee Meng,3
MANDATES,74,S Shantikumar,3
FAERIES,76,Shukra Raj Gurung,3
SCOLDING,64,Shukra Raj Gurung,3
ODONATES,58,Shahrul Kamal,3
ARENITE,61,Nicholas Lee,4
AIGRETS,67,Nicholas Lee,4
DETOURS,70,Mohammed Ameen,4
LOUNGES,79,Mohammed Ameen,4
INDORSE,84,Khumraj Thapa,4
GLANDERS,88,Khumraj Thapa,4
UNITING,77,Khumraj Thapa,4
WRESTING,63,Lee Chee Meng,4
SARDINES,70,Lee Chee Meng,5
BROMATES,74,Shahrul Kamal,5
INSURES,74,Valliamah Thambiaya,5
ABLINGS,68,Valliamah Thambiaya,5
PINIONS,60,Shukra Raj Gurung,5
JUICERS,123,Khumraj Thapa,5
ADVICES,83,Mohammed Ameen,6
STUNNED,76,Mohammed Ameen,6
BANTERS,74,Nicholas Lee,6
AREDING,72,Nicholas Lee,6
SOONEST,62,Shahrul Kamal,6
RETILED,77,Shahrul Kamal,6
HANGARS,68,Shukra Raj Gurung,6
HARKING,93,Khumraj Thapa,7
TOURISTS,66,Khumraj Thapa,7
SPLEENS,84,Valliamah Thambiaya,7
SNOWIER,85,Mohammed Ameen,7
DIETING,76,Mohammed Ameen,7
DARTIEST*,77,S Shantikumar,7
TELLERS,74,Shahrul Kamal,7
SHAKIER,76,Mohammed Ameen,8
SMUTTIER,83,Mohammed Ameen,8
APPLIED,73,Lee Chee Meng,8
FERNIEST,91,S Shantikumar,8
ELUSION,81,Valliamah Thambiaya,8
TEARERS,69,Shukra Raj Gurung,8
WAILERS,93,Nicholas Lee,8
BRINGER,72,Shahrul Kamal,8
RENTERS,84,Khumraj Thapa,9
STAINED,77,Shahrul Kamal,9
STAINED,73,Valliamah Thambiaya,9
AERIEST,71,Lee Chee Meng,9
PICTURED,64,Shukra Raj Gurung,9
SNIRTLE,67,Nicholas Lee,9
REWINED*,72,Shukra Raj Gurung,10
REGAUGE,85,S Shantikumar,10
LESIONED,84,S Shantikumar,10
THEMING,75,Shahrul Kamal,10
REALISMS,62,Shahrul Kamal,10
ORDINEES,77,Shahrul Kamal,10
DELEGATE,78,Lee Chee Meng,10
REWASHED,72,Shahrul Kamal,11
TENSING,61,Shahrul Kamal,11
TASTIEST,68,Lee Chee Meng,11
LOUVRED,81,S Shantikumar,11
UPRISING,65,Khumraj Thapa,11
SWADDIE,108,Shahrul Kamal,12
MOILERS,83,Shahrul Kamal,12
COTTAGE,61,Shahrul Kamal,12
DUETING,78,Khumraj Thapa,12
DETAINED,64,Lee Chee Meng,12
VEILING,80,Mohammed Ameen,12
OVERATED*,70,Valliamah Thambiaya,12
PANTIES,70,Nicholas Lee,12
INTENTS,72,S Shantikumar,12
SHORTIE,80,Valliamah Thambiaya,13
SEATING,74,Valliamah Thambiaya,13
COUPONS,78,S Shantikumar,13
FOOTIES,76,Khumraj Thapa,13
EMAILER,70,Shahrul Kamal,13
OUTPUTS,70,Shahrul Kamal,13
POLARISE,65,Shukra Raj Gurung,13
TUNNELS,64,Shukra Raj Gurung,13
NECKERS,79,Mohammed Ameen,13
RADIATES,66,Mohammed Ameen,13
DOWNIES*,69,Shukra Raj Gurung,14
DORSING*,68,Valliamah Thambiaya,14
ROOTING,62,Lee Chee Meng,14
ENLISTS,73,Lee Chee Meng,14
SOARING,62,Lee Chee Meng,14
LITERATE,113,Mohammed Ameen,14
RANDIEST,70,Mohammed Ameen,15
KNEELER,64,Nicholas Lee,15
LATEENS,75,Shahrul Kamal,15
TRAINED,98,Shahrul Kamal,15
ATONIES,66,S Shantikumar,15
ONLIEST,65,Shukra Raj Gurung,16
GOONIER,87,Shahrul Kamal,16
AFFIXERS,91,Shahrul Kamal,16
KETTLES,79,Shahrul Kamal,16
IRONIES,70,Nicholas Lee,16
