"player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","blank","j","q","x","z","s","overtime","minute","second","power.tiles","bingo.count","bingo.points"
"Lee Chee Meng",1,493,7,1,"N",1,"Win","Y","Valliammah Thambiaya",318,175,2,1,1,1,1,2,"",NA,NA,8,2,156
"Shukra Raj Gurung",1,355,3,2,"N",1,"Win","N","Nicholas Lee",350,5,1,1,1,1,0,2,"N",3,47,6,0,0
"Nicholas Lee",1,350,2,3,"N",0,"Lose","Y","Shukra Raj Gurung",355,-5,1,0,0,0,1,2,"N",11,54,4,0,0
"Mohammed Ameen",1,357,5,4,"N",1,"Win","N","S Shanthikumar",353,4,1,1,1,1,0,2,"N",3,38,6,0,0
"S Shanthikumar",1,353,4,5,"N",0,"Lose","Y","Mohammed Ameen",357,-4,1,0,0,0,1,2,"N",0,8,4,0,0
"Shahrul Kamal",1,282,8,6,"N",0,"Lose","N","Khumraj Thapa",469,-187,1,0,0,0,0,3,"",NA,NA,4,0,0
"Valliammah Thambiaya",1,318,1,7,"N",0,"Lose","N","Lee Chee Meng",493,-175,0,0,0,0,0,2,"",NA,NA,2,0,0
"Khumraj Thapa",1,469,6,8,"N",1,"Win","Y","Shahrul Kamal",282,187,1,1,1,1,1,1,"",NA,NA,6,0,0
"Lee Chee Meng",2,427,3,1,"N",1,"Win","Y","Nicholas Lee",324,103,0,1,0,1,1,2,"N",4,39,5,1,75
"Shukra Raj Gurung",2,416,5,2,"N",1,"Win","Y","S Shanthikumar",387,29,1,0,1,1,1,2,"N",11,34,6,1,66
"Nicholas Lee",2,324,1,3,"N",0,"Lose","N","Lee Chee Meng",427,-103,2,0,1,0,0,2,"N",6,36,5,1,62
"Mohammed Ameen",2,345,8,4,"N",0,"Lose","Y","Khumraj Thapa",371,-26,1,1,1,0,0,3,"N",3,40,6,0,0
"S Shanthikumar",2,387,2,5,"N",0,"Lose","N","Shukra Raj Gurung",416,-29,1,1,0,0,0,2,"N",8,39,4,0,0
"Shahrul Kamal",2,334,7,6,"N",0,"Lose","N","Valliammah Thambiaya",366,-32,NA,0,0,0,0,3,"",NA,NA,NA,0,0
"Valliammah Thambiaya",2,366,6,7,"N",1,"Win","Y","Shahrul Kamal",334,32,NA,0,1,1,1,1,"",NA,NA,NA,0,0
"Khumraj Thapa",2,371,4,8,"N",1,"Win","N","Mohammed Ameen",345,26,1,0,0,1,1,1,"N",7,34,4,1,79
"Lee Chee Meng",3,504,5,1,"N",1,"Win","N","S Shanthikumar",379,125,2,1,0,0,1,4,"N",0,49,8,3,205
"Shukra Raj Gurung",3,453,8,2,"N",1,"Win","N","Khumraj Thapa",246,207,2,1,0,1,1,1,"N",13,24,6,2,140
"Nicholas Lee",3,436,7,3,"N",1,"Win","N","Valliammah Thambiaya",430,6,2,1,1,0,0,1,"N",7,0,5,1,73
"Mohammed Ameen",3,366,6,4,"N",1,"Win","N","Shahrul Kamal",292,74,0,0,1,0,0,2,"N",5,30,3,0,0
"S Shanthikumar",3,379,1,5,"N",0,"Lose","Y","Lee Chee Meng",504,-125,0,0,1,1,0,0,"N",0,12,2,0,0
"Shahrul Kamal",3,292,4,6,"N",0,"Lose","Y","Mohammed Ameen",366,-74,2,1,0,1,1,2,"Y",0,14,7,1,58
"Valliammah Thambiaya",3,430,3,7,"N",0,"Lose","Y","Nicholas Lee",436,-6,0,0,0,1,1,3,"N",3,0,5,0,0
"Khumraj Thapa",3,246,2,8,"N",0,"Lose","Y","Shukra Raj Gurung",453,-207,0,0,1,0,0,3,"N",4,54,4,0,0
"Lee Chee Meng",4,357,8,1,"N",0,"Lose","Y","Khumraj Thapa",475,-118,1,0,1,1,0,2,"N",7,57,5,1,63
"Shukra Raj Gurung",4,319,6,2,"N",0,"Lose","Y","Shahrul Kamal",425,-106,0,0,1,0,1,2,"N",4,44,4,0,0
"Nicholas Lee",4,384,5,3,"N",1,"Win","Y","S Shanthikumar",353,31,2,1,0,0,0,2,"N",11,9,5,2,128
"Mohammed Ameen",4,435,7,4,"N",1,"Win","Y","Valliammah Thambiaya",342,93,2,1,0,1,0,2,"",NA,NA,6,2,149
"S Shanthikumar",4,353,3,5,"N",0,"Lose","N","Nicholas Lee",384,-31,0,0,1,1,1,2,"N",0,45,5,0,0
"Shahrul Kamal",4,425,2,6,"N",1,"Win","N","Shukra Raj Gurung",319,106,2,1,0,1,0,2,"N",10,25,6,0,0
"Valliammah Thambiaya",4,342,4,7,"N",0,"Lose","N","Mohammed Ameen",435,-93,0,0,1,0,1,2,"",NA,NA,4,0,0
"Khumraj Thapa",4,475,1,8,"N",1,"Win","N","Lee Chee Meng",357,118,1,1,0,0,1,2,"N",8,33,5,3,249
"Lee Chee Meng",5,362,6,1,"N",0,"Lose","N","Shahrul Kamal",390,-28,1,1,0,0,0,3,"",NA,NA,5,1,70
"Shukra Raj Gurung",5,412,4,2,"N",1,"Win","N","Mohammed Ameen",270,142,2,1,0,1,0,2,"N",2,27,6,1,60
