"player","bingos","bingo.ave.score"
"Andy Kurnia",34,80.9117647058823
"Cheah Siu Hean",30,79.5333333333333
"Gabriel Cheang",30,78.5666666666667
"Hubert Wee",44,75.9772727272727
"J Jeyaseelan",39,73.6842105263158
"Jeremy Khoo",26,79.6538461538462
"Khumraj Balal",11,83
"Lee Chee Meng",16,70
"Lee Cheong Cheng",31,73.8064516129032
"Lee Guan Hui",32,74.28125
"Leon Tan",32,72.8387096774194
"Lim Li Wei",33,80.3030303030303
"Marlon Prudencio",36,74.8333333333333
"Michael Tang",29,78.8965517241379
"Mohammed Ameen",13,79.6923076923077
"Nicholas Lee",11,70.2727272727273
"S Shantikumar",11,78.4545454545455
"Shahrul Kamal",22,75.5909090909091
"Shim Yen Nee",38,77.8684210526316
"Shukra Raj Gurung",12,66.8333333333333
"Tay Jing En",34,80.0588235294118
"Tony Sim",32,77.4375
"Valliamah Thambaiah",11,74.6363636363636
"Yong Jian Rong",31,79.2903225806452
