Bingo,Score,Player,Round,Division
AERATED,82,Jeremy Khoo,1,1
TENSESt,72,Jeremy Khoo,1,1
POISING,79,Leon Tan,1,1
ANISOLE,65,Yong Jian Rong,1,1
BIRDIES,70,Yong Jian Rong,1,1
SPUTTERS,83,Yong Jian Rong,1,1
SEMINARY,88,Shim Yen Nee,1,1
OUTFACED,100,Lim Li Wei,1,1
OUTEATEN,59,Lim Li Wei,1,1
EPISTLED,88,Lim Li Wei,1,1
GYMNASIA,80,Lee Guan Hui,1,1
REGALIST,80,Lee Guan Hui,1,1
BUDDIES,108,Gabriel Cheang,1,1
BEASTIES,68,Gabriel Cheang,1,1
PROTRUDE,62,Gabriel Cheang,1,1
OUTLETS,65,Lee Cheong Cheng,1,1
TORSIVE,79,Lee Cheong Cheng,1,1
PARALYZE,82,Hubert Wee,1,1
INTEGRIN,80,Hubert Wee,1,1
REVEALED,72,Hubert Wee,1,1
SCOOTER,72,Hubert Wee,1,1
INVITERS,86,Hubert Wee,1,1
LENITION,68,Tay Jing En,1,1
REGULARS,58,Tay Jing En,1,1
ELEVATES,83,Tay Jing En,1,1
IODATION,63,Cheah Siu Hean,1,1
TRAIPSE,95,Cheah Siu Hean,1,1
OPUNTIA,68,Michael Tang,1,1
POUTHER,112,Michael Tang,1,1
IOLITES,77,Tony Sim,1,1
AIRfARE,68,Andy Kurnia,1,1
SALUTER,75,Andy Kurnia,1,1
DaNCIEST,83,Andy Kurnia,1,1
ABOITEAU,74,J Jeyaseelan,1,1
NEURONAL,66,Marlon Prudencio,2,1
DISEASED,70,Marlon Prudencio,2,1
INTENDED,62,Marlon Prudencio,2,1
QUERIES,94,Cheah Siu Hean,2,1
TERTIAN,66,Tay Jing En,2,1
MOODIEST,76,Tay Jing En,2,1
MERINOS,83,Tay Jing En,2,1
TWINNED,65,Tay Jing En,2,1
DEVOTES,86,Jeremy Khoo,2,1
VAUNTER,82,Jeremy Khoo,2,1
OATLIKE,72,Gabriel Cheang,2,1
SALTING,74,Leon Tan,2,1
NOTAIRE,61,Leon Tan,2,1
STUNTING,68,Yong Jian Rong,2,1
STRAFING,76,Yong Jian Rong,2,1
DIORITE,76,Lee Cheong Cheng,2,1
OMITTERS,62,Lee Guan Hui,2,1
SaGOUINS,77,Lee Guan Hui,2,1
ENdEARS,60,Tony Sim,2,1
SAILINGS,61,J Jeyaseelan,2,1
KATORGAS,72,J Jeyaseelan,2,1
RETINES,71,J Jeyaseelan,2,1
LLANERO,72,J Jeyaseelan,2,1
CRAFTIER,78,Shim Yen Nee,2,1
DENIERS,87,Lim Li Wei,2,1
ANTIFOg,84,Lim Li Wei,2,1
SHORTIE,81,Lim Li Wei,2,1
PRINCED,85,Andy Kurnia,2,1
INVERTS,80,Michael Tang,2,1
SLATING,80,Michael Tang,2,1
REMIXING,86,Michael Tang,2,1
HOURLIES,68,Michael Tang,2,1
ECTASIA,73,Hubert Wee,2,1
DIPNETS,72,Andy Kurnia,3,1
FIREWOOD,80,Tony Sim,3,1
SAnGRIA,68,Tony Sim,3,1
SETTLES,85,Gabriel Cheang,3,1
PRENTICE,74,Gabriel Cheang,3,1
RETSINAS,122,Jeremy Khoo,3,1
IGNITES,66,Leon Tan,3,1
SuLTANS,94,Leon Tan,3,1
