Name,Date,Tournament,Division,TotalDivs,Placement,Players,Wins,Margin,GamesFirst,GamesLast,Rating,Norm
Tony Sim,19 Jan 2014,15th SA Millennium Cup,1 of,1,3rd of,14,13,+422,1962 -,1978,1883,
Tony Sim,25 Jan 2014,WYSC Scrabble Benefit Tournament,1 of,2,1st of,8,7,+517,1979 -,1986,1915,
Tony Sim,22 Feb 2014,WYSC Scrabble Benefit Tournament,1 of,2,4th of,8,5,+278,1987 -,1995,1909,
Tony Sim,15 Mar 2014,WYSC Scrabble Benefit Tournament,1 of,1,4th of,10,6,+370,1996 -,2004,1908,
Tony Sim,30 Mar 2014,Jurong Green CC Scrabble Open Championship 2014,1 of,3,8th of,14,8,+118,2005 -,2020,1879,
Tony Sim,5 Apr 2014,WYSC Scrabble Benefit Tournament,1 of,2,7th of,10,5,+39,2021 -,2029,1857,
Tony Sim,18 May 2014,Jurong Green CC mini tournament,1 of,1,6th of,12,5,+369,2030 -,2038,1846,
Tony Sim,13 Jan 2013,14th SA Millennium Cup,1 of,2,4th of,10,10,-325,1804 -,1821,1947,
Tony Sim,2 Feb 2013,Survivors Only Scrabblathon (SOS),1 of,1,7th of,20,7,+233,1822 -,1833,1929,
Tony Sim,9 Mar 2013,SOS G8,1 of,1,3rd of,10,6,+164,1834 -,1843,1931,
Tony Sim,17 Mar 2013,NTU WGS Scrabble Mini 2013,1 of,2,9th of,10,3,-249,1844 -,1852,1905,
Tony Sim,7 Apr 2013,Jurong Green CC Scrabble Open Championship 2013,1 of,2,6th of,18,9,+395,1853 -,1868,1896,
Tony Sim,2 Jun 2013,Bishan Heights RC mini tournament,1 of,3,8th of,10,3,-60,1869 -,1877,1872,
Tony Sim,23 Jun 2013,EM23JUNE,1 of,2,5th of,10,5,-126,1878 -,1887,1874,
Tony Sim,28 Jul 2013,Singapore National Scrabble Championship 2013,1 of,3,11th of,18,8,+83,1888 -,1905,1841,
Tony Sim,18 Aug 2013,Jurong Green CC mini tournament,1 of,2,7th of,10,4,-19,1906 -,1914,1835,
Tony Sim,8 Sep 2013,Grandeur 8 mini tournament,1 of,2,4th of,12,6,-213,1915 -,1925,1865,
Tony Sim,6 Oct 2013,Oktobertilefez Scrabblemini,1 of,1,7th of,12,6,+22,1926 -,1935,1854,
Tony Sim,12 Oct 2013,Team NTU vs SGP,1 of,1,1st of,18,8,+1362,,,,
Tony Sim,16 Nov 2013,WYSC Scrabble Benefit Tournament,1 of,2,8th of,14,4,+30,1936 -,1943,1841,
Tony Sim,1 Dec 2013,mini,1 of,1,5th of,10,6,+160,1944 -,1953,1845,
Tony Sim,14 Dec 2013,WYSC Scrabble Benefit Tournament,1 of,2,3rd of,10,5,+304,1954 -,1961,1841,
Tony Sim,15 Jan 2012,13th SA Millennium Cup,1 of,2,5th of,12,10,+985,1682 -,1701,1864,
Tony Sim,18 Mar 2012,Jurong Green CC Scrabble Open Championship 2012,1 of,3,5th of,14,9,+366,1702 -,1717,1871,
Tony Sim,27 May 2012,Bishan Heights RC mini tournament,1 of,3,6th of,10,4,+104,1718 -,1726,1856,
Tony Sim,16 Jun 2012,Jurong Green CC Mind Sports Day,1 of,3,8th of,16,4,-89,1727 -,1733,1857,
Tony Sim,22 Jul 2012,Singapore National Scrabble Championship 2012,1 of,3,3rd of,18,10,+578,1734 -,1749,1889,
Tony Sim,12 Aug 2012,Jurong Green CC mini tournament,1 of,3,1st of,10,8,+637,1750 -,1758,1962,
