"name","rating","boards","pairings","scores","team","wins","losses","spread","wp","rank","board1","board2","board3","board4","board5","board6","board7","board8","board9","board10","board11","board12","board13","board14","board15","board16","board17","board18","board19","board20","pairing1","pairing2","pairing3","pairing4","pairing5","pairing6","pairing7","pairing8","pairing9","pairing10","pairing11","pairing12","pairing13","pairing14","pairing15","pairing16","pairing17","pairing18","pairing19","pairing20","score1","score2","score3","score4","score5","score6","score7","score8","score9","score10","score11","score12","score13","score14","score15","score16","score17","score18","score19","score20"
"Abbasi, Abdullah","1186","8 14 22 31 31 35 13 36 39 39 37 27 22 22 37 27 33 33 39 39","32 25 21 97 64 68 53 79 0 77 30 108 73 26 19 60 54 88 29 63","487 404 374 431 521 381 352 378 75 513 438 515 371 398 452 304 411 404 386 449","PAK","8","12","151","16","84","8","14","22","31","31","35","13","36","39","39","37","27","22","22","37","27","33","33","39","39","32","25","21","97","64","68","53","79","0","77","30","108","73","26","19","60","54","88","29","63","487","404","374","431","521","381","352","378","75","513","438","515","371","398","452","304","411","404","386","449"
"Adamson, Tim","2006","17 16 6 25 27 18 32 21 28 29 35 34 40 35 31 31 26 24 35 29","11 91 4 24 28 63 35 18 55 102 77 84 34 48 6 61 38 58 74 59","505 343 451 467 435 553 371 399 397 347 415 330 512 462 501 379 391 445 306 361","USA","9","11","-218","18","69","17","16","6","25","27","18","32","21","28","29","35","34","40","35","31","31","26","24","35","29","11","91","4","24","28","63","35","18","55","102","77","84","34","48","6","61","38","58","74","59","505","343","451","467","435","553","371","399","397","347","415","330","512","462","501","379","391","445","306","361"
"Aka, Toke","1747","45 24 34 27 12 12 15 25 7 8 12 6 31 26 26 26 48 48 34 32","30 69 34 17 62 4 76 21 5 8 56 90 87 109 61 57 44 41 37 54","356 492 433 371 377 508 404 448 319 442 306 272 352 353 366 388 439 581 422 385","NGA","9","11","-319","18","74","45","24","34","27","12","12","15","25","7","8","12","6","31","26","26","26","48","48","34","32","30","69","34","17","62","4","76","21","5","8","56","90","87","109","61","57","44","41","37","54","356","492","433","371","377","508","404","448","319","442","306","272","352","353","366","388","439","581","422","385"
"Akonor, Michael","1837","42 46 6 17 17 12 12 24 17 19 19 19 1 2 5 7 9 9 11 15","86 92 2 25 68 3 11 48 98 9 61 27 103 62 12 81 21 28 84 13","508 542 338 477 399 474 393 390 443 534 507 553 379 400 370 454 373 390 761 414","GHA","11","9","1035","22","31","42","46","6","17","17","12","12","24","17","19","19","19","1","2","5","7","9","9","11","15","86","92","2","25","68","3","11","48","98","9","61","27","103","62","12","81","21","28","84","13","508","542","338","477","399","474","393","390","443","534","507","553","379","400","370","454","373","390","761","414"
"Allan, Paul","2115","7 3 2 5 5 5 5 5 7 7 7 7 20 20 9 18 19 20 28 22","39 54 48 26 10 15 80 37 3 52 40 20 46 60 101 18 78 107 59 53","592 450 503 353 374 428 469 480 444 460 359 369 471 435 328 377 314 465 446 484","Eng","12","8","247","24","22","7","3","2","5","5","5","5","5","7","7","7","7","20","20","9","18","19","20","28","22","39","54","48","26","10","15","80","37","3","52","40","20","46","60","101","18","78","107","59","53","592","450","503","353","374","428","469","480","444","460","359","369","471","435","328","377","314","465","446","484"
"Andersson, Gunnar","1631","43 28 28 41 42 31 31 14 31 32 33 37 28 24 31 30 31 31 31 24","25 20 96 41 73 44 57 101 105 63 91 30 28 107 2 47 27 46 86 89","360 373 459 416 338 434 421 269 370 494 413 547 326 422 417 429 380 485 494 354","SWE","10","10","-364","20","59","43","28","28","41","42","31","31","14","31","32","33","37","28","24","31","30","31","31","31","24","25","20","96","41","73","44","57","101","105","63","91","30","28","107","2","47","27","46","86","89","360","373","459","416","338","434","421","269","370","494","413","547","326","422","417","429","380","485","494","354"
"Andronowski, Piotr","1976","20 27 35 11 13 2 18 18 20 13 17 32 23 21 32 32 23 25 29 16","87 46 107 91 18 105 63 50 10 13 58 9 84 53 38 29 19 98 27 70","439 394 458 480 409 399 482 359 338 422 359 492 384 511 361 388 435 485 515 566","Sco","12","8","597","24","21","20","27","35","11","13","2","18","18","20","13","17","32","23","21","32","32","23","25","29","16","87","46","107","91","18","105","63","50","10","13","58","9","84","53","38","29","19","98","27","70","439","394","458","480","409","399","482","359","338","422","359","492","384","511","361","388","435","485","515","566"
"Armstrong, Peter","2053","12 23 23 3 3 4 8 9 8 8 5 1 6 3 13 12 10 11 9 12","99 37 41 35 47 23 33 10 61 3 52 62 50 93 55 20 18 84 13 21","471 484 409 489 455 383 380 403 540 487 350 428 364 322 499 390 481 465 446 454","USA","14","6","436","28","6","12","23","23","3","3","4","8","9","8","8","5","1","6","3","13","12","10","11","9","12","99","37","41","35","47","23","33","10","61","3","52","62","50","93","55","20","18","84","13","21","471","484","409","489","455","383","380","403","540","487","350","428","364","322","499","390","481","465","446","454"
"Baig, Moizullah","1489","4 10 47 30 32 28 51 37 18 19 20 32 27 30 36 36 24 23 23 23","103 102 51 54 27 107 16 72 21 4 80 7 91 47 63 42 58 19 76 73","411 339 424 445 386 487 445 445 408 422 449 454 381 407 554 439 393 338 439 307","PAK","9","11","-125","18","68","4","10","47","30","32","28","51","37","18","19","20","32","27","30","36","36","24","23","23","23","103","102","51","54","27","107","16","72","21","4","80","7","91","47","63","42","58","19","76","73","411","339","424","445","386","487","445","445","408","422","449","454","381","407","554","439","393","338","439","307"
"Balasingam, Vannitha","1873","40 43 50 4 5 20 9 9 20 20 9 14 19 17 12 9 5 1 13 14","104 75 40 12 5 37 50 8 7 46 23 69 27 29 51 90 55 32 83 20","430 410 520 365 401 412 457 347 480 382 433 445 654 436 381 362 367 428 527 540","MYS","13","7","939","26","8","40","43","50","4","5","20","9","9","20","20","9","14","19","17","12","9","5","1","13","14","104","75","40","12","5","37","50","8","7","46","23","69","27","29","51","90","55","32","83","20","430","410","520","365","401","412","457","347","480","382","433","445","654","436","381","362","367","428","527","540"
"Barker, John","1315","17 36 43 39 41 41 12 29 27 33 31 18 38 38 42 45 47 47 46 46","2 83 75 77 95 19 4 30 109 57 107 35 38 64 100 24 39 34 72 42","456 446 392 456 409 323 371 434 363 509 399 462 381 303 394 428 491 469 433 334","AUS","9","11","-332","18","75","17","36","43","39","41","41","12","29","27","33","31","18","38","38","42","45","47","47","46","46","2","83","75","77","95","19","4","30","109","57","107","35","38","64","100","24","39","34","72","42","456","446","392","456","409","323","371","434","363","509","399","462","381","303","394","428","491","469","433","334"
"Beevers, Craig","2066","11 22 10 4 4 1 4 4 6 5 4 4 4 6 5 2 4 6 4 4","66 74 59 10 35 93 26 81 90 56 50 32 31 83 4 103 14 33 52 62","496 497 484 421 487 420 538 338 463 404 603 304 426 541 420 343 487 542 445 408","Eng","16","4","827","32","3","11","22","10","4","4","1","4","4","6","5","4","4","4","6","5","2","4","6","4","4","66","74","59","10","35","93","26","81","90","56","50","32","31","83","4","103","14","33","52","62","496","497","484","421","487","420","538","338","463","404","603","304","426","541","420","343","487","542","445","408"
"Berofsky, Evan","1949","25 31 31 38 38 38 29 20 13 13 13 9 8 10 6 6 15 15 9 15","44 65 77 73 88 17 29 98 47 7 14 78 89 81 56 49 101 80 8 4","387 298 428 513 458 481 563 376 504 446 413 439 473 377 382 344 578 434 366 465","CAN","11.5","8.5","682","23","28","25","31","31","38","38","38","29","20","13","13","13","9","8","10","6","6","15","15","9","15","44","65","77","73","88","17","29","98","47","7","14","78","89","81","56","49","101","80","8","4","387","298","428","513","458","481","563","376","504","446","413","439","473","377","382","344","578","434","366","465"
"Brousson, Theresa","1982","19 26 26 9 7 16 22 8 19 12 13 10 3 4 11 5 4 5 5 1","95 86 55 61 81 18 30 33 46 53 13 23 93 31 49 56 12 52 62 103","444 466 495 369 449 545 473 357 499 444 437 514 346 495 485 491 479 343 359 499","MLT","13","7","581","26","16","19","26","26","9","7","16","22","8","19","12","13","10","3","4","11","5","4","5","5","1","95","86","55","61","81","18","30","33","46","53","13","23","93","31","49","56","12","52","62","103","444","466","495","369","449","545","473","357","499","444","437","514","346","495","485","491","479","343","359","499"
"Bruce, Cicely","1527","5 45 21 7 9 5 24 27 24 23 43 36 45 47 47 47 34 34 33 33","62 73 30 81 83 5 48 107 51 76 108 72 43 39 77 92 68 37 35 87","482 404 439 370 384 382 402 482 405 345 402 386 342 454 414 486 403 359 333 342","NZL","8","12","-87","16","86","5","45","21","7","9","5","24","27","24","23","43","36","45","47","47","47","34","34","33","33","62","73","30","81","83","5","48","107","51","76","108","72","43","39","77","92","68","37","35","87","482","404","439","370","384","382","402","482","405","345","402","386","342","454","414","486","403","359","333","342"
"Caba, Catalin","1349","3 35 54 42 43 51 51 51 44 42 46 48 48 46 43 50 51 52 54 51","93 107 19 40 43 75 9 63 59 87 39 66 22 104 44 96 82 94 95 41","244 395 328 386 441 393 402 313 393 409 430 379 357 318 374 291 331 502 362 403","ROM","7","13","-801","14","98","3","35","54","42","43","51","51","51","44","42","46","48","48","46","43","50","51","52","54","51","93","107","19","40","43","75","9","63","59","87","39","66","22","104","44","96","82","94","95","41","244","395","328","386","441","393","402","313","393","409","430","379","357","318","374","291","331","502","362","403"
"Callaghan, Rowan","1347","23 47 39 27 26 38 42 42 39 43 39 43 50 54 52 52 52 50 45 42","89 59 23 3 102 13 25 24 0 108 54 104 66 94 95 82 99 96 100 77","395 396 367 349 358 359 417 386 -75 392 341 313 279 413 422 318 421 408 359 446","Eng","7","13","-829","14","99","23","47","39","27","26","38","42","42","39","43","39","43","50","54","52","52","52","50","45","42","89","59","23","3","102","13","25","24","0","108","54","104","66","94","95","82","99","96","100","77","395","396","367","349","358","359","417","386","-75","392","341","313","279","413","422","318","421","408","359","446"
"Carter, Gerald","1755","48 7 33 13 13 16 16 21 16 16 16 16 18 18 18 18 10 10 10 10","51 98 90 80 7 14 52 2 79 27 20 89 29 35 40 5 8 23 28 48","551 403 487 458 464 464 477 459 455 389 479 382 435 486 408 455 460 365 368 360","THA","11","9","572","22","34","48","7","33","13","13","16","16","21","16","16","16","16","18","18","18","18","10","10","10","10","51","98","90","80","7","14","52","2","79","27","20","89","29","35","40","5","8","23","28","48","551","403","487","458","464","464","477","459","455","389","479","382","435","486","408","455","460","365","368","360"
"Charles, Leslie","1747","29 33 54 15 21 41 40 2 22 21 30 30 34 37 37 21 23 23 20 18","52 90 16 58 31 11 60 105 48 106 59 38 97 37 1 70 7 9 107 81","294 425 383 348 345 494 391 446 411 360 399 403 459 449 385 436 374 385 423 478","TTO","11.5","8.5","192","23","30","29","33","54","15","21","41","40","2","22","21","30","30","34","37","37","21","23","23","20","18","52","90","16","58","31","11","60","105","48","106","59","38","97","37","1","70","7","9","107","81","294","425","383","348","345","494","391","446","411","360","399","403","459","449","385","436","374","385","423","478"
"Chinnaiyah, Suresh Thevakumar Samuel","1962","21 28 13 8 8 15 27 26 10 11 16 7 12 11 8 12 11 12 12 14","71 6 80 83 53 58 28 51 40 61 18 5 81 33 23 8 84 50 21 10","494 462 513 374 310 490 393 415 397 438 381 420 342 461 409 474 527 343 514 310","LKA","12","8","-59","24","26","21","28","13","8","8","15","27","26","10","11","16","7","12","11","8","12","11","12","12","14","71","6","80","83","53","58","28","51","40","61","18","5","81","33","23","8","84","50","21","10","494","462","513","374","310","490","393","415","397","438","381","420","342","461","409","474","527","343","514","310"
"Clinchy, Evans","1997","18 18 22 19 28 3 20 25 18 18 8 8 9 13 4 4 9 13 12 12","57 24 1 56 25 47 37 3 9 79 93 33 101 55 31 40 4 83 20 8","442 356 490 401 527 342 502 393 488 485 412 472 421 392 481 423 399 436 318 423","USA","12","8","203","24","23","18","18","22","19","28","3","20","25","18","18","8","8","9","13","4","4","9","13","12","12","57","24","1","56","25","47","37","3","9","79","93","33","101","55","31","40","4","83","20","8","442","356","490","401","527","342","502","393","488","485","412","472","421","392","481","423","399","436","318","423"
"Coventry, Ian","1518","14 42 38 46 47 46 46 31 42 36 49 49 48 45 34 34 29 32 22 21","69 50 54 84 87 96 88 57 0 107 75 86 16 24 97 30 35 45 53 101","331 349 359 424 356 418 479 334 -75 411 440 452 414 416 359 379 457 371 402 423","Eng","11","9","-276","22","43","14","42","38","46","47","46","46","31","42","36","49","49","48","45","34","34","29","32","22","21","69","50","54","84","87","96","88","57","0","107","75","86","16","24","97","30","35","45","53","101","331","349","359","424","356","418","479","334","-75","411","440","452","414","416","359","379","457","371","402","423"
"Craig, Joanne","1895","35 39 39 1 2 4 1 7 12 15 9 10 7 8 8 8 12 10 17 17","77 71 17 49 105 8 81 62 53 98 10 14 90 89 20 83 50 18 31 51","532 418 610 438 538 361 400 435 475 378 464 397 417 440 541 378 368 469 507 436","NZL","13","7","832","26","11","35","39","39","1","2","4","1","7","12","15","9","10","7","8","8","8","12","10","17","17","77","71","17","49","105","8","81","62","53","98","10","14","90","89","20","83","50","18","31","51","532","418","610","438","538","361","400","435","475","378","464","397","417","440","541","378","368","469","507","436"
