"","name","rating","team","round","opp","score","opp.score","spread","win","cumwin","cumspread","ave.score","hi.score","low.score","si","lose.streak","win.streak","rank"
"1","Abbasi, Abdullah",1186,"PAK",1,"Eldar, David",487,399,88,1,1,88,487,487,487,100088,4,2,32
"2","Adamson, Tim",2006,"USA",1,"Barker, John",505,456,49,1,1,49,505,505,505,100049,4,3,39
"3","Aka, Toke",1747,"NGA",1,"Dyer, Becky",356,368,-12,0,0,-12,356,356,356,-12,8,3,59
"4","Akonor, Michael",1837,"GHA",1,"Rowley, Neil",508,347,161,1,1,161,508,508,508,100161,3,6,16
"5","Allan, Paul",2115,"Eng",1,"Guest, Cornelia",592,308,284,1,1,284,592,592,592,100284,3,4,3
"6","Andersson, Gunnar",1631,"SWE",1,"Dangoor, Elie",360,471,-111,0,0,-111,360,360,360,-111,2,2,81
"7","Andronowski, Piotr",1976,"Sco",1,"Sandu, Dan",439,405,34,1,1,34,439,439,439,100034,4,5,44
"8","Armstrong, Peter",2053,"USA",1,"Szymanski, Mikolaj",471,315,156,1,1,156,471,471,471,100156,2,4,19
"9","Baig, Moizullah",1489,"PAK",1,"Wiegand, Dave",411,462,-51,0,0,-51,411,411,411,-51,3,3,73
"10","Balasingam, Vannitha",1873,"MYS",1,"Willingham, Walker",430,381,49,1,1,49,430,430,430,100049,2,5,39
"11","Barker, John",1315,"AUS",1,"Adamson, Tim",456,505,-49,0,0,-49,456,456,456,-49,5,4,71
"12","Beevers, Craig",2066,"Eng",1,"Ngundi, Mutua",496,344,152,1,1,152,496,496,496,100152,1,5,20
"13","Berofsky, Evan",1949,"CAN",1,"Huitson, Nicky",387,416,-29,0,0,-29,387,387,387,-29,2,5,66
"14","Brousson, Theresa",1982,"MLT",1,"Sorensen, Sharon",444,348,96,1,1,96,444,444,444,100096,3,4,31
"15","Bruce, Cicely",1527,"NZL",1,"May, Chris",482,380,102,1,1,102,482,482,482,100102,5,4,30
