Timestamp,Match ID,Game,Player A,Player B,A Score,B Score,A Bingos,B Bingos,A Start,B Start,A:J,A:Q,A:X,A:Z,A:S,A:?,B:J,B:Q,B:X,B:Z,B:S,B:?
10/10/2015 18:27:17,P,1,Cheah Siu Hean,Michael Tang,456,391,"FERETORy 67, GLEEmEN 73, PLAUDIT 75",ARSINES 81,,*,1,0,0,1,1,2,0,1,1,0,3,0
10/10/2015 19:20:26,P,2,Cheah Siu Hean,Michael Tang,409,384,mINIATE 72,"SILENUS 68, iNTROIT 69",*,,1,1,0,1,0,1,0,0,1,0,4,1
10/10/2015 20:19:27,P,3,Cheah Siu Hean,Michael Tang,445,462,"CHOREGI 78, ESSONITE 66","NONPaID 77, TARlETAN 74",,*,0,1,1,0,3,0,1,0,0,1,1,2
11/10/2015 13:02:03,O,1,Henry Yeo,Tony Sim,515,303,"ORIENTER 61, CELOMATA 79, DISLiKER 78",IRONIeR 68,*,,1,1,1,0,2,1,0,0,0,1,2,1
11/10/2015 14:07:37,O,2,Henry Yeo,Tony Sim,572,373,"GEODETIC 81, DuENNAS 77, LUCIFErS 78, BRUISED 90",ECONUTS 80,,*,1,1,0,1,3,2,0,0,1,0,1,0
11/10/2015 15:59:08,O,3,Henry Yeo,Tony Sim,466,360,"RINGLETY 87, OuTRAGES 72",DIARiES 75,*,,1,0,0,0,2,1,0,1,1,1,2,1
11/10/2015 16:01:21,O,4,Henry Yeo,Tony Sim,541,376,"LINKERS 102, TALLENTS 77, WARTIMe 78, NODDIES 77",AdORNER 64,,*,0,0,1,0,4,1,1,1,0,1,0,1
11/10/2015 18:19:42,M,1,Toh Weibin,Jeremy Khoo,378,526,"(U)NSEELIE 70, E(N)ACTORs 70","IDEATED 88, NEUROId 72, AG(I)TATES 72, KERNELS 72",*,,1,1,0,0,1,1,0,0,1,1,3,1
11/10/2015 18:20:51,P,4,Cheah Siu Hean,Michael Tang,572,445,"PITARAH 82, COLLaGED 99, TANGELO 72","DARKENS 84, ReTITLE 80",*,,0,1,1,1,1,1,1,0,0,0,3,1
11/10/2015 19:05:02,P,5,Cheah Siu Hean,Michael Tang,395,404,KEtONES 70,"MELODIAS 74, PLASTERS 83",,*,1,1,1,1,1,2,0,0,0,0,3,0
11/10/2015 19:25:16,M,2,Toh Weibin,Jeremy Khoo,514,323,"GLENOID 72, RAPTNESS 78",HAIRLINE 70,,*,1,0,1,1,3,1,0,1,0,0,1,1
11/10/2015 19:42:51,P,6,Cheah Siu Hean,Michael Tang,533,298,"ENDiNGS 64, OUTlAID 86, OESTRIN 66, TEABAGS 74",,*,,1,0,0,0,3,2,0,1,1,1,1,0
11/10/2015 20:23:20,M,3,Toh Weibin,Jeremy Khoo,390,454,ETCE(T)ERA 61,"(H)ORrIBLE 86, LARIATS 73, SIDEMEN 75",*,,1,1,0,0,1,0,0,0,1,1,3,2
11/10/2015 21:17:33,M,4,Toh Weibin,Jeremy Khoo,494,306,"PROTIST 76, lENTIGO 74, QUANtED 80",,,*,1,1,0,1,1,2,0,0,1,0,3,0
11/10/2015 22:16:45,M,5,Toh Weibin,Jeremy Khoo,463,370,"REGALING 83, ENCRINAL 60","BRITCHES 72, DINEROS 77",*,,1,1,1,0,0,0,0,0,0,1,4,2
11/10/2015 23:04:00,M,6,Toh Weibin,Jeremy Khoo,403,504,FORSLOE 80,"GOI(T)ERED 90, TiGH(T)ENS 78, UPbOILE(D) 83",,*,0,1,1,1,2,0,1,0,0,0,2,2
14/10/2015 14:01:57,L,1,Ricky Purnomo,J. Goutham,412,440,"PHENOLS 94, RAVAGEs 102","SEDATED 73, UNST(A)TED 70",*,,1,0,1,0,2,2,0,1,0,1,2,0
