Timestamp,Match ID,Game,Player A,Player B,A Score,B Score,A Bingos,B Bingos,A Start,B Start,A:J,A:Q,A:X,A:Z,A:S,A:?,B:J,B:Q,B:X,B:Z,B:S,B:?
9/21/2015 21:39:48,C,1,Eden Choo,Gan Cher Siong,379,384,AVEnTURE 72,,*,,0,1,0,1,1,2,1,0,1,0,3,0
9/21/2015 21:43:41,C,2,Eden Choo,Gan Cher Siong,409,349,INeRTIAL 64,,,*,0,0,1,1,1,1,1,1,0,0,3,1
9/21/2015 21:46:36,C,3,Eden Choo,Gan Cher Siong,377,376,,,*,,0,0,0,1,2,2,1,1,1,0,2,0
9/21/2015 21:49:17,C,4,Eden Choo,Gan Cher Siong,407,432,"MEDIANS 90, IN(D)IGOES 71","SMELTEr 78, TAUNTERS 68",,*,0,0,1,1,2,0,1,1,0,0,2,2
9/21/2015 21:51:45,C,5,Eden Choo,Gan Cher Siong,366,395,,"NATTIER 66, (L)EAKAGES 78",*,,1,1,0,1,1,1,0,0,1,0,3,1
9/21/2015 21:55:57,C,6,Eden Choo,Gan Cher Siong,357,430,"URINAtE 79, AIRMAIL 73","ROOTiNG 77, (C)ENTAGES 72",,*,0,1,0,0,1,1,1,0,1,1,3,1
9/24/2015 9:53:24,H,1,Michael Tang,Leon Tan,420,400,TIMAR(I)OT 79,"(A)DERMInS 89, INSTATE 80",*,,0,1,1,1,0,1,1,0,0,0,4,1
9/24/2015 10:27:46,H,2,Michael Tang,Leon Tan,337,447,,"RAmONAS 74, AN(T)IGENS 72, IrONING 65",,*,1,1,1,1,2,0,0,0,0,0,2,2
9/24/2015 11:14:18,H,3,Michael Tang,Leon Tan,397,380,"TINDERS 80, TWAITeS 71",LAIRIse 67,*,,0,0,0,0,3,1,1,1,1,1,1,1
9/24/2015 11:51:03,H,4,Michael Tang,Leon Tan,369,358,gaNTLIN(E) 62,B(R)UISERS 61,,*,0,1,0,1,2,2,1,0,1,0,2,0
9/24/2015 12:25:09,G,1,Tony Sim,Ying Ming Poh,409,456,"BRI(S)TLES 74, CoTErIE 68","TON(E)ARMS 70, PINNATE 76, (T)WOONIES 76",,*,1,1,0,0,1,2,0,0,1,1,3,0
9/24/2015 12:37:33,H,5,Michael Tang,Leon Tan,385,377,"EROTIC(A)S 69, GANiSTE(R) 60",MEANIEs 87,*,,1,0,0,0,4,1,0,1,1,1,0,1
9/24/2015 13:21:00,G,2,Tony Sim,Ying Ming Poh,406,426,"MINUETS 77, ALIGNER 70","AURElIA 69, DOO(R)LESs 66",*,,0,1,0,1,3,0,1,0,1,0,1,2
9/24/2015 14:16:38,G,3,Tony Sim,Ying Ming Poh,469,373,S(L)IGHTER 82,"MARENGO 68, R(E)pLYINg 68",,*,1,0,1,1,4,0,0,1,0,0,0,2
9/24/2015 15:13:46,G,4,Tony Sim,Ying Ming Poh,399,496,"A(S)TONIED 72, BEANIEs 71","PEARCES 85, DRAPIeS(T) 91",*,,0,0,1,0,2,1,1,1,0,1,2,1
9/24/2015 21:44:32,D,1,J. Goutham,Ricky Foo,419,237,BLONDES 73,,*,,1,0,1,1,1,0,0,1,0,0,3,2
9/24/2015 21:47:24,D,2,J. Goutham,Ricky Foo,600,319,"AMBIENT 76, ATTAINED 62, INWALLS 79, PEOnIES 76, ORDINAR 87",RINGERS 75,,*,1,1,0,0,2,1,0,0,1,1,2,1
9/24/2015 21:57:13,D,3,J. Goutham,Ricky Foo,468,358,"INULASe 85, bLUESIER 73",SWINGED 77,*,,0,0,1,0,3,2,1,1,0,1,1,0
9/24/2015 21:59:35,D,4,J. Goutham,Ricky Foo,429,279,"TERMITe 82, STYLIER 77",DEFANgS 77,,*,0,1,1,1,2,1,1,0,0,0,2,1
9/26/2015 11:20:56,E,1,Jeremy Khoo,Shahrul Kamal,393,373,DENIZEN 75,STITCHER 80,,*,1,0,0,1,1,2,0,1,1,0,3,0
9/26/2015 12:13:45,E,2,Jeremy Khoo,Shahrul Kamal,484,356,"(Y)EASTIER 91, FRIENDS 103",DHOoTIE 108,*,,1,1,0,1,2,0,0,0,1,0,2,2
9/26/2015 13:06:43,E,3,Jeremy Khoo,Shahrul Kamal,460,459,"(A)SPERITY 97, BULIMIA 83, TORNADE 66","OLdSTER 86, CONCo(R)DS 78",,*,0,0,1,1,1,0,1,1,0,0,3,2
9/26/2015 14:09:11,F,1,Lim Li Wei,Nicholas Hong,461,423,"TELLArED 75, MINTERS 81, TOPPLINg 63",SWEARING 89,,*,0,1,1,0,2,2,1,0,0,1,2,0
9/26/2015 14:34:20,E,4,Jeremy Khoo,Shahrul Kamal,459,397,"(L)ARIATED 63, RAWbONE 80",PERSONa 82,*,,1,0,1,0,1,1,0,1,0,1,3,1
9/26/2015 14:49:47,F,2,Lim Li Wei,Nicholas Hong,523,367,"CALMIER 88, FARDAGE 80, HERoINES 90","FILTRATE 69, ALeRION 68",*,,0,1,1,1,2,1,1,0,0,0,2,1
9/26/2015 15:29:32,F,3,Lim Li Wei,Nicholas Hong,318,435,,"SADdEST 86, STINTeD 72, (A)URELIAN 66",,*,1,1,1,1,0,0,0,0,0,0,4,2
9/26/2015 16:03:38,F,4,Lim Li Wei,Nicholas Hong,481,357,"GOOBERs 72, OUTGAINS 72",ARISING 68,*,,0,1,1,0,1,1,1,0,0,1,3,1
9/26/2015 16:44:45,F,5,Lim Li Wei,Nicholas Hong,341,354,REE(D)IEST 61,UNSAwED 77,,*,1,1,0,0,3,0,0,0,1,1,1,2
