"","player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","cumwin","cumspread","ave.score","hi.score","low.score","si","lose.streak","win.streak","rank"
"1","Alastair Richards",1,511,22,2,"N",1,"Win","N","Dianne Ward",350,161,1,161,511,511,511,100161,2,3,7
"2","Alex Tan",1,413,37,17,"N",1,"Win","N","Ananto Widodo",374,39,1,39,413,413,413,100039,3,8,15
"3","Ananto Widodo",1,374,17,37,"N",0,"Lose","N","Alex Tan",413,-39,0,-39,374,374,374,-39,4,1,26
"4","Andri Prasetyo",1,268,18,38,"N",0,"Lose","N","Tay Jing En",434,-166,0,-166,268,268,268,-166,4,2,35
"5","Andy Kurnia",1,424,26,6,"N",0.5,"Draw","N","Tengku Asri",424,0,0.5,0,424,424,424,50000,2,2,20
"6","Arul Inthirarajah",1,498,10,30,"N",1,"Win","N","Yong Jian Rong",263,235,1,235,498,498,498,100235,4,3,2
"7","Cheah Siu Hean",1,404,27,7,"N",0,"Lose","N","K Dorai Raja",406,-2,0,-2,404,404,404,-2,2,3,22
"8","Chew Han Ei",1,399,3,23,"N",0,"Lose","N","Hubert Wee",417,-18,0,-18,399,399,399,-18,2,3,24
"9","Dianne Ward",1,350,2,22,"N",0,"Lose","N","Alastair Richards",511,-161,0,-161,350,350,350,-161,2,3,34
"10","Elizabeth Wok",1,299,9,29,"N",0,"Lose","N","J Goutham",422,-123,0,-123,299,299,299,-123,2,3,33
"11","Gabriel Cheang",1,505,36,16,"N",1,"Win","N","Sharon Chia",286,219,1,219,505,505,505,100219,2,2,3
"12","Gan Yi En",1,494,33,13,"N",1,"Win","N","Shahrul Kamal",280,214,1,214,494,494,494,100214,3,2,4
"13","Goh Jiang Pern",1,417,34,14,"N",1,"Win","N","Mary Morgan",404,13,1,13,417,417,417,100013,4,2,18
"14","Hubert Wee",1,417,23,3,"N",1,"Win","N","Chew Han Ei",399,18,1,18,417,417,417,100018,2,4,17
"15","J Goutham",1,422,29,9,"N",1,"Win","N","Elizabeth Wok",299,123,1,123,422,422,422,100123,2,6,8
