Name,Opp,Tournament,ScoreFor,ScoreAgainst,Source
Hubert Wee,Nigel Richards,19.12.2004 Causeway Challenge,342,451,WESPA
Hubert Wee,Nigel Richards,10.12.2006 5th Causeway Challenge,410,415,WESPA
Hubert Wee,Nigel Richards,24.08.2007 Penang,419,473,WESPA
Hubert Wee,Nigel Richards,11.11.2007 9th World Scrabble Championships,432,408,WESPA
Hubert Wee,Nigel Richards,11.11.2007 9th World Scrabble Championships,411,399,WESPA
Hubert Wee,Nigel Richards,29.11.2007 Causeway Challenge Premier,398,375,WESPA
Hubert Wee,Nigel Richards,29.06.2008 23rd Brands Kings Cup,379,541,WESPA
Hubert Wee,Nigel Richards,30.11.2009 Causeway Challenge,414,445,WESPA
Hubert Wee,Nigel Richards,11.06.2010 ICT Penang Open,455,485,WESPA
Hubert Wee,Nigel Richards,20.06.2010 25th BRAND's Thailand International Crossword Game King's Cup,391,402,WESPA
Hubert Wee,Nigel Richards,15.10.2011 2011 World Scrabble Championship,444,390,WESPA
Hubert Wee,Nigel Richards,30.11.2011 CAUSEWAY 2011,549,390,WESPA
Hubert Wee,Nigel Richards,30.11.2011 CAUSEWAY 2011,411,409,WESPA
Hubert Wee,Nigel Richards,30.11.2011 CAUSEWAY 2011,483,404,WESPA
Hubert Wee,Nigel Richards,30.11.2011 CAUSEWAY 2011,324,463,WESPA
Hubert Wee,Nigel Richards,30.11.2011 CAUSEWAY 2011,442,403,WESPA
Hubert Wee,Nigel Richards,24.06.2012 27th BRANDS Thailand International Crossword Game King's Cup,426,457,WESPA
Hubert Wee,Nigel Richards,16.12.2012 PESTA PULAU PINANG,515,418,WESPA
Hubert Wee,Nigel Richards,16.12.2012 PESTA PULAU PINANG,344,549,WESPA
Hubert Wee,Nigel Richards,20.01.2013  iGATE International 2013,399,413,WESPA
Hubert Wee,Nigel Richards,20.01.2013  iGATE International 2013,337,463,WESPA
Hubert Wee,Nigel Richards,05.07.2013 PENANG INTERNATIONAL,372,368,WESPA
Hubert Wee,Nigel Richards,05.07.2013 PENANG INTERNATIONAL,364,517,WESPA
Hubert Wee,Nigel Richards,05.07.2013 PENANG INTERNATIONAL,480,408,WESPA
Hubert Wee,Nigel Richards,05.07.2013 PENANG INTERNATIONAL,469,379,WESPA
Hubert Wee,Nigel Richards,05.07.2013 PENANG INTERNATIONAL,450,470,WESPA
Hubert Wee,Nigel Richards,05.07.2013 PENANG INTERNATIONAL,416,629,WESPA
Hubert Wee,Nigel Richards,14.07.2013 28th BRAND's Thailand International Crossword Game King's Cup,411,469,WESPA
