"Name","Date","Tournament","Division","TotalDivs","Placement","Players","Wins","Margin","GamesFirst","GamesLast","Rating","Norm"
"Ricky Purnomo",1997-11-30,"5th Kenneth Chen Cup","1",2,"37",62,"7",89,"1",16,1544,""
"Ricky Purnomo",1998-05-31,"4th Hong Kah East CC - St John's Institution Annual Friendly","1",1,"6",52,"10",418,"17",31,1670,"*"
"Ricky Purnomo",1998-08-02,"1st Singapore Open Scrabble Championship","1",3,"8",24,"9",57,"32",47,1725,"*"
"Ricky Purnomo",1998-11-29,"6th Kenneth Chen Cup","1",2,"13",42,"9",136,"48",63,1695,"M*"
"Ricky Purnomo",1999-05-30,"2nd Singapore Open Scrabble Championship","1",3,"7",36,"9",219,"64",78,1716,"*"
"Ricky Purnomo",1999-12-05,"7th Kenneth Chen Cup","1",3,"7",34,"9",814,"79",94,1706,"SM"
"Ricky Purnomo",2000-02-20,"1st SA Millennium Cup","1",2,"5",8,"8",422,"95",110,1707,""
"Ricky Purnomo",2000-03-26,"6th Hong Kah East CC - St John's Institution Annual Friendly","1",1,"9",28,"9",119,"111",126,1732,""
"Ricky Purnomo",2000-05-21,"3rd Singapore Open Scrabble Championship","1",3,"11",28,"9",58,"127",142,1781,""
"Ricky Purnomo",2000-07-08,"SA mini tournament","1",1,"6",10,"4",-77,"143",151,1760,""
"Ricky Purnomo",2000-07-09,"SA mini tournament","1",1,"3",16,"6",228,"152",159,1772,""
"Ricky Purnomo",2000-08-06,"Hong Kah East CC mini tournament","1",2,"4",10,"5",158,"160",168,1766,""
"Ricky Purnomo",2000-09-10,"Mind Sports Olympiad","1",2,"6",20,"13",669,"169",187,1807,"*"
"Ricky Purnomo",2000-10-22,"Hong Kah East CC mini tournament","1",2,"3",10,"6",179,"188",196,1809,"*"
"Ricky Purnomo",2001-01-21,"2nd SA Millennium Cup","1",2,"2",8,"10",234,"197",212,1818,"NM"
"Ricky Purnomo",2001-03-04,"1st NTU Open Scrabble Championship","1",2,"6",12,"4",208,"213",220,1805,""
"Ricky Purnomo",2001-05-06,"4th Singapore Open Scrabble Championship","1",3,"15",30,"8",71,"221",236,1791,""
"Ricky Purnomo",2001-07-15,"Singapore National Scrabble Championship 2001","1",2,"4",20,"10",472,"237",252,1782,""
"Ricky Purnomo",2001-10-28,"Hong Kah East CC mini tournament","1",3,"5",10,"4",316,"253",261,1770,""
"Ricky Purnomo",2001-11-24,"not the 9th Kenneth Chen Cup, day 1","1",2,"5",18,"5",473,"262",270,1794,""
"Ricky Purnomo",2001-11-25,"not the 9th Kenneth Chen Cup, day 2","1",3,"5",20,"6",71,"271",279,1805,""
"Ricky Purnomo",2002-01-20,"3rd SA Millennium Cup","1",3,"2",10,"14",538,"280",296,1842,""
"Ricky Purnomo",2002-02-24,"2nd NTU Open Scrabble Championship","1",2,"1",10,"6",452,"297",304,1854,""
"Ricky Purnomo",2002-03-03,"1st Temasek Open","1",2,"9",18,"8",-145,"305",320,1812,""
"Ricky Purnomo",2002-04-28,"8th Jurong Green CC - St John's Institution Annual Friendly","1",1,"4",22,"10",661,"321",336,1854,""
"Ricky Purnomo",2002-07-21,"Singapore National Scrabble Championship 2002","1",2,"1",18,"12",532,"337",352,1904,"*"
"Ricky Purnomo",2002-10-13,"Jurong Green CC mini tournament","1",2,"2",10,"7",320,"353",361,1923,"*"
"Ricky Purnomo",2002-12-01,"1st Lim Boon Heng Cup","1",3,"6",24,"10",-51,"362",377,1913,"GM"
"Ricky Purnomo",2003-01-26,"4th SA Millennium Cup","1",2,"2",10,"13",959,"378",395,1940,""
"Ricky Purnomo",2003-02-23,"3rd NTU Open Scrabble Championship","1",2,"3",12,"6",-101,"396",403,1937,""
"Ricky Purnomo",2003-03-16,"2nd Temasek Open","1",3,"3",18,"10",-36,"404",419,1938,""
"Ricky Purnomo",2003-05-18,"Jurong Green CC mini tournament","1",2,"3",10,"6",237,"420",428,1938,""
"Ricky Purnomo",2003-06-15,"6th Singapore Open Scrabble Championship","1",3,"2",24,"11",498,"429",444,1941,""
"Ricky Purnomo",2003-07-20,"Singapore National Scrabble Championship 2003","1",1,"6",16,"11",656,"445",462,1910,""
"Ricky Purnomo",2003-09-07,"2nd Harmony Cup","1",3,"8",18,"10",498,"463",479,1871,""
"Ricky Purnomo",2003-11-23,"2nd Lim Boon Heng Cup","1",3,"2",22,"12",442,"480",495,1922,""
"Ricky Purnomo",2003-12-28,"Jurong Green CC mini tournament","1",3,"4",10,"6",146,"496",504,1918,""
"Ricky Purnomo",2004-02-08,"5th SA Millennium Cup","1",2,"5",10,"10",534,"505",522,1892,""
"Ricky Purnomo",2004-05-02,"Jurong Green CC mini tournament","1",3,"3",8,"5",183,"523",530,1896,""
"Ricky Purnomo",2004-06-06,"7th Singapore Open Scrabble Championship","1",3,"11",20,"8",-216,"531",545,1846,""
"Ricky Purnomo",2004-07-18,"Singapore National Scrabble Championship 2004","1",3,"5",16,"9",394,"546",561,1849,""
"Ricky Purnomo",2004-09-12,"Kg Kembangan CC mini tournament","1",2,"8",12,"3",210,"562",569,1827,""
"Ricky Purnomo",2004-10-24,"Kg Kembangan CC mini tournament","1",1,"1",18,"6",650,"570",577,1854,""
"Ricky Purnomo",2004-11-07,"Kg Kembangan CC mini tournament","1",1,"3",16,"5.5",283,"578",585,1866,""
"Ricky Purnomo",2004-11-21,"3rd Lim Boon Heng Cup","1",3,"2",16,"10",330,"586",601,1902,""
"Ricky Purnomo",2005-01-30,"6th SA Millennium Cup","1",2,"3",8,"9",218,"602",617,1890,""
"Ricky Purnomo",2005-03-06,"5th NTU Open Scrabble Championship","1",2,"3",10,"5",394,"618",625,1890,""
"Ricky Purnomo",2005-04-02,"Teck Ghee Zone B Residents' Committee mini tournament","1",2,"1",8,"6",555,"626",632,1893,""
"Ricky Purnomo",2005-05-15,"Teck Ghee Zone B Residents' Committee mini tournament","1",1,"4",16,"5",349,"633",640,1875,""
"Ricky Purnomo",2005-06-05,"Teck Ghee Zone B Residents' Committee mini tournament","1",2,"7",10,"3",-16,"641",649,1831,""
"Ricky Purnomo",2005-07-24,"Singapore National Scrabble Championship 2005","1",3,"11",20,"8",-118,"650",665,1817,""
"Ricky Purnomo",2005-10-30,"8th Singapore Open Scrabble Championship","1",3,"3",20,"10",775,"666",681,1848,""
"Ricky Purnomo",2006-01-15,"7th SA Millennium Cup","1",2,"7",10,"7",-840,"682",699,1807,""
"Ricky Purnomo",2006-03-12,"6th NTU Open Scrabble Championship","1",2,"3",14,"5",239,"700",707,1832,""
"Ricky Purnomo",2006-03-19,"4th Lim Boon Heng Cup","1",3,"7",22,"9",270,"708",722,1814,""
"Ricky Purnomo",2006-07-23,"Singapore National Scrabble Championship 2006","1",3,"7",26,"9",587,"723",738,1822,""
"Ricky Purnomo",2006-10-15,"Jurong Green CC mini tournament","1",3,"10",10,"1",-521,"739",747,1774,""
"Ricky Purnomo",2007-01-28,"8th SA Millennium Cup","1",2,"5",22,"10",82,"748",763,1820,""
"Ricky Purnomo",2007-03-04,"7th NTU Open Scrabble Championship","1",2,"7",14,"4",167,"764",771,1808,""
"Ricky Purnomo",2007-03-18,"5th Lim Boon Heng Cup","1",3,"10",18,"8",-132,"772",787,1796,""
"Ricky Purnomo",2007-05-27,"10th Singapore Open Scrabble Championship","1",3,"8",18,"8",417,"788",803,1790,""
"Ricky Purnomo",2007-09-16,"Grandeur 8 mini tournament","2",2,"2",8,"5",272,"804",811,1796,""
"Ricky Purnomo",2007-10-07,"The Serangoon mini tournament","2",2,"4",6,"3",-367,"812",819,1751,""
