Name,Date,Tournament,Division,TotalDivs,Placement,Players,Wins,Margin,GamesFirst,GamesLast,Rating,Norm
Ricky Purnomo,30 Mar 2014,Jurong Green CC Scrabble Open Championship 2014,1 of,3,6th of,14,9,+109,1285 -,1300,1878,
Ricky Purnomo,13 Jan 2013,14th SA Millennium Cup,1 of,2,7th of,10,8½,-296,1205 -,1222,1956,
Ricky Purnomo,17 Mar 2013,NTU WGS Scrabble Mini 2013,1 of,2,3rd of,10,5,+220,1223 -,1231,1956,
Ricky Purnomo,7 Apr 2013,Jurong Green CC Scrabble Open Championship 2013,1 of,2,9th of,18,8,+362,1232 -,1247,1913,
Ricky Purnomo,28 Jul 2013,Singapore National Scrabble Championship 2013,1 of,3,9th of,18,9,+252,1248 -,1265,1884,
Ricky Purnomo,8 Sep 2013,Grandeur 8 mini tournament,1 of,2,5th of,12,5,+343,1266 -,1276,1885,
Ricky Purnomo,12 Oct 2013,Team NTU vs SGP,1 of,1,5th of,18,7,+539,,,,
Ricky Purnomo,14 Dec 2013,WYSC Scrabble Benefit Tournament,1 of,2,4th of,10,5,+240,1277 -,1284,1873,
Ricky Purnomo,15 Jan 2012,13th SA Millennium Cup,1 of,2,1st of,12,16,+653,1127 -,1146,2020,
Ricky Purnomo,18 Mar 2012,Jurong Green CC Scrabble Open Championship 2012,1 of,3,3rd of,14,10,+69,1147 -,1162,2006,
Ricky Purnomo,22 Jul 2012,Singapore National Scrabble Championship 2012,1 of,3,8th of,18,9,-7,1163 -,1178,1982,
Ricky Purnomo,8 Sep 2012,Grandeur 8 mini tournament,1 of,2,3rd of,12,6,+527,1179 -,1188,1981,
Ricky Purnomo,18 Nov 2012,15th Singapore Open Scrabble Championship,1 of,2,6th of,28,10,+182,1189 -,1204,1987,
Ricky Purnomo,23 Jan 2011,12th SA Millennium Cup,1 of,3,7th of,12,10,+166,1038 -,1057,1915,
Ricky Purnomo,13 Mar 2011,9th Lim Boon Heng Cup,1 of,3,5th of,18,9,+505,1058 -,1073,1898,
Ricky Purnomo,16 Apr 2011,Survivors Only Scrabblathon (SOS),1 of,1,3rd of,22,8,+616,1074 -,1085,1897,
Ricky Purnomo,15 May 2011,Jurong Green CC mini tournament,1 of,3,1st of,10,8,+639,1086 -,1094,1965,
Ricky Purnomo,24 Jul 2011,Singapore National Scrabble Championship 2011,1 of,3,2nd of,14,12½,+875,1095 -,1110,1996,
Ricky Purnomo,27 Nov 2011,14th Singapore Open Scrabble Championship,1 of,4,7th of,30,9½,-23,1111 -,1126,1977,
